identifier1	identifier2	lemma	median_cleaned	judgments
1958-2-12	1996-70-12	下海	2.0	[2, 2]
1994-83-12	1998-79-12	下海	2.0	[2, 2]
1993-71-12	1994-73-12	下海	2.0	[2, 2]
1993-71-12	1994-82-12	下海	4.0	[4, 4]
1993-71-12	1996-70-12	下海	4.0	[4, 4]
1993-71-12	2000-63-12	下海	2.0	[2, 2]
1993-71-12	2003-96-12	下海	4.0	[4, 4]
1988-89-12	1993-71-12	下海	4.0	[4, 4]
1988-89-12	1994-53-12	下海	4.0	[4, 4]
1988-89-12	1994-73-12	下海	2.0	[2, 2]
1994-83-12	1999-81-12	下海	2.0	[2, 2]
1994-83-12	2000-63-12	下海	3.0	[3, 3]
2000-63-12	2003-96-12	下海	2.0	[2, 2]
1988-89-12	1994-82-12	下海	4.0	[4, 4]
1988-89-12	1994-83-12	下海	2.0	[2, 2]
1988-89-12	1996-69-12	下海	2.0	[2, 2]
1988-89-12	1996-70-12	下海	4.0	[4, 4]
1988-89-12	1999-81-12	下海	4.0	[4, 4]
1988-89-12	2000-63-12	下海	2.0	[2, 2]
1988-89-12	2003-96-12	下海	4.0	[4, 4]
1966-14-12	2003-96-12	下海	2.0	[2, 2]
1958-21-12	1958-41-12	下海	4.0	[4, 4]
1961-42-12	1961-49-12	下海	4.0	[4, 4]
1961-49-12	1999-81-12	下海	2.0	[2, 2]
1994-83-12	1996-84-12	下海	4.0	[4, 4]
1961-49-12	1996-70-12	下海	2.0	[2, 2]
1994-83-12	1996-69-12	下海	4.0	[4, 4]
1994-82-12	2000-63-12	下海	2.0	[2, 2]
1959-13-12	1966-14-12	下海	3.0	[3, 3]
1959-13-12	1966-5-12	下海	3.0	[3, 3]
1959-13-12	1972-44-12	下海	3.0	[3, 3]
1959-13-12	1980-88-12	下海	3.0	[3, 3]
1959-13-12	1986-60-12	下海	4.0	[4, 4]
1959-13-12	1987-90-12	下海	3.0	[3, 3]
1959-13-12	1988-89-12	下海	2.0	[2, 2]
1959-13-12	1993-71-12	下海	2.0	[2, 2]
1959-13-12	1994-53-12	下海	2.0	[2, 2]
1959-13-12	1994-64-12	下海	2.0	[2, 2]
1959-13-12	1994-73-12	下海	4.0	[4, 4]
1959-13-12	1994-83-12	下海	3.0	[3, 3]
1959-13-12	1996-69-12	下海	3.0	[3, 3]
1959-13-12	1996-84-12	下海	4.0	[4, 4]
1959-13-12	1998-79-12	下海	2.0	[2, 2]
1959-13-12	2000-63-12	下海	4.0	[4, 4]
1959-13-12	2003-96-12	下海	2.0	[2, 2]
1994-82-12	1994-83-12	下海	2.0	[2, 2]
1994-82-12	1996-69-12	下海	2.0	[2, 2]
1961-49-12	2003-96-12	下海	2.0	[2, 2]
1966-14-12	1999-81-12	下海	2.0	[2, 2]
1994-82-12	1996-70-12	下海	4.0	[4, 4]
1994-82-12	1999-81-12	下海	4.0	[4, 4]
1994-82-12	2003-96-12	下海	4.0	[4, 4]
1961-49-12	1996-69-12	下海	3.0	[3, 3]
1961-42-12	1965-19-12	下海	3.0	[3, 3]
1961-42-12	1966-14-12	下海	4.0	[4, 4]
1954-36-12	1980-88-12	下海	3.0	[3, 3]
1954-36-12	1972-44-12	下海	3.0	[3, 3]
1954-36-12	1966-5-12	下海	3.0	[3, 3]
1954-36-12	1966-14-12	下海	3.0	[3, 3]
1954-36-12	1961-49-12	下海	4.0	[4, 4]
1954-36-12	1961-42-12	下海	4.0	[4, 4]
1954-36-12	1960-47-12	下海	3.0	[3, 3]
1954-36-12	1959-13-12	下海	4.0	[4, 4]
1954-36-12	1958-26-12	下海	4.0	[4, 4]
1954-36-12	1958-2-12	下海	4.0	[4, 4]
1954-36-12	1958-1-12	下海	3.0	[3, 3]
1954-36-12	1955-22-12	下海	4.0	[4, 4]
1996-70-12	2003-96-12	下海	4.0	[4, 4]
1996-70-12	2000-63-12	下海	2.0	[2, 2]
1996-70-12	1999-81-12	下海	4.0	[4, 4]
1986-60-12	2000-63-12	下海	4.0	[4, 4]
1958-2-12	1996-84-12	下海	4.0	[4, 4]
1996-69-12	2003-96-12	下海	2.0	[2, 2]
1996-69-12	2000-63-12	下海	3.0	[3, 3]
1958-4-12	2003-96-12	下海	2.0	[2, 2]
1958-4-12	2000-63-12	下海	4.0	[4, 4]
1958-4-12	1999-81-12	下海	2.0	[2, 2]
1958-4-12	1996-70-12	下海	2.0	[2, 2]
1954-36-12	1986-60-12	下海	4.0	[4, 4]
1954-36-12	1987-90-12	下海	3.0	[3, 3]
1954-36-12	1988-89-12	下海	2.0	[2, 2]
1954-36-12	1993-71-12	下海	2.0	[2, 2]
1961-49-12	1994-83-12	下海	3.0	[3, 3]
1961-42-12	1972-44-12	下海	3.0	[3, 3]
1961-42-12	1980-88-12	下海	3.0	[3, 3]
1961-49-12	1994-82-12	下海	2.0	[2, 2]
1961-49-12	1994-73-12	下海	4.0	[4, 4]
1961-49-12	1993-92-12	下海	2.0	[2, 2]
1961-49-12	1993-71-12	下海	2.0	[2, 2]
1961-49-12	1988-89-12	下海	2.0	[2, 2]
1961-49-12	1986-60-12	下海	4.0	[4, 4]
1961-49-12	1980-88-12	下海	3.0	[3, 3]
1961-49-12	1977-29-12	下海	3.0	[3, 3]
1959-13-12	1965-19-12	下海	3.0	[3, 3]
1961-49-12	1966-14-12	下海	3.0	[3, 3]
1954-36-12	2003-96-12	下海	2.0	[2, 2]
1954-36-12	2000-63-12	下海	4.0	[4, 4]
1954-36-12	1999-81-12	下海	2.0	[2, 2]
1954-36-12	1998-79-12	下海	2.0	[2, 2]
1954-36-12	1996-70-12	下海	2.0	[2, 2]
1954-36-12	1996-69-12	下海	3.0	[3, 3]
1954-36-12	1994-83-12	下海	3.0	[3, 3]
1954-36-12	1994-73-12	下海	4.0	[4, 4]
1954-36-12	1994-64-12	下海	2.0	[2, 2]
1954-36-12	1994-53-12	下海	2.0	[2, 2]
1954-36-12	1993-92-12	下海	2.0	[2, 2]
1961-49-12	1965-19-12	下海	3.0	[3, 3]
1959-13-12	1961-49-12	下海	4.0	[4, 4]
1959-13-12	1960-47-12	下海	3.0	[3, 3]
1966-14-12	1996-84-12	下海	4.0	[4, 4]
1958-1-12	1994-82-12	下海	2.0	[2, 2]
1958-1-12	1988-89-12	下海	2.0	[2, 2]
1958-1-12	1977-29-12	下海	4.0	[4, 4]
1966-14-12	1977-29-12	下海	3.0	[3, 3]
1966-14-12	1972-44-12	下海	4.0	[4, 4]
1966-14-12	1966-5-12	下海	4.0	[4, 4]
1986-60-12	2003-96-12	下海	2.0	[2, 2]
1955-22-12	1988-89-12	下海	2.0	[2, 2]
1955-22-12	1987-90-12	下海	3.0	[3, 3]
1955-22-12	1986-60-12	下海	4.0	[4, 4]
1993-71-12	1994-53-12	下海	4.0	[4, 4]
1993-71-12	1993-92-12	下海	4.0	[4, 4]
1955-22-12	1977-29-12	下海	4.0	[4, 4]
1955-22-12	1972-44-12	下海	3.0	[3, 3]
1994-73-12	2000-63-12	下海	4.0	[4, 4]
1994-73-12	1999-81-12	下海	2.0	[2, 2]
1994-73-12	1998-79-12	下海	2.0	[2, 2]
1994-73-12	1996-69-12	下海	3.0	[3, 3]
1994-73-12	1994-83-12	下海	3.0	[3, 3]
1958-1-12	1972-44-12	下海	3.0	[3, 3]
1958-1-12	1966-5-12	下海	3.0	[3, 3]
1958-1-12	1965-19-12	下海	3.0	[3, 3]
1958-1-12	1961-34-12	下海	3.0	[3, 3]
1958-1-12	1998-79-12	下海	2.0	[2, 2]
1958-1-12	1999-81-12	下海	2.0	[2, 2]
1966-14-12	1993-71-12	下海	2.0	[2, 2]
1966-14-12	1993-92-12	下海	2.0	[2, 2]
1986-60-12	1998-79-12	下海	2.0	[2, 2]
1986-60-12	1996-70-12	下海	2.0	[2, 2]
1986-60-12	1994-83-12	下海	3.0	[3, 3]
1986-60-12	1994-82-12	下海	2.0	[2, 2]
1986-60-12	1994-73-12	下海	4.0	[4, 4]
1986-60-12	1994-64-12	下海	2.0	[2, 2]
1986-60-12	1994-53-12	下海	2.0	[2, 2]
1986-60-12	1993-92-12	下海	2.0	[2, 2]
1986-60-12	1993-71-12	下海	2.0	[2, 2]
1986-60-12	1988-89-12	下海	2.0	[2, 2]
1955-22-12	1994-73-12	下海	4.0	[4, 4]
1958-1-12	1958-4-12	下海	3.0	[3, 3]
1955-22-12	1994-82-12	下海	2.0	[2, 2]
1955-22-12	1996-70-12	下海	2.0	[2, 2]
1955-22-12	1996-84-12	下海	4.0	[4, 4]
1955-22-12	1999-81-12	下海	2.0	[2, 2]
1955-22-12	2000-63-12	下海	4.0	[4, 4]
1958-26-12	1961-49-12	下海	4.0	[4, 4]
1958-26-12	1961-42-12	下海	4.0	[4, 4]
1958-26-12	1960-47-12	下海	3.0	[3, 3]
1958-26-12	1959-13-12	下海	4.0	[4, 4]
1958-26-12	1958-4-12	下海	4.0	[4, 4]
1966-14-12	1996-69-12	下海	4.0	[4, 4]
1966-14-12	1994-73-12	下海	3.0	[3, 3]
1955-22-12	1994-83-12	下海	3.0	[3, 3]
1958-4-12	1994-83-12	下海	3.0	[3, 3]
1955-22-12	1966-5-12	下海	3.0	[3, 3]
1955-22-12	1961-49-12	下海	4.0	[4, 4]
1954-48-12	1958-2-12	下海	4.0	[4, 4]
1954-48-12	1958-1-12	下海	3.0	[3, 3]
1954-48-12	1955-22-12	下海	4.0	[4, 4]
1955-22-12	1958-4-12	下海	4.0	[4, 4]
1955-22-12	1958-26-12	下海	4.0	[4, 4]
1955-22-12	1958-2-12	下海	4.0	[4, 4]
