identifier1	identifier2	lemma
fontane_briest_1896-3928-9	pocci_komoedienbuechlein06_1877-4689-47	Abend
richardson_clarissa05_1750-8230-14	sulzer_theorie02_1774-9043-22	Abend
raabe_akten_1896-391-36	schauberg_freimaurerei01_1861-5823-31	Abend
ganswindt_faerberei_1889-10264-7	musaeus_grandison02_1761-1746-19	Abend
goethe_goetz_1773-221-4	pestalozzi_lienhard04_1787-2481-22	Abend
alexis_ruhe02_1852-3263-2	musaeus_grandison02_1761-1746-19	Abend
poppe_charakteristik01_1776-2657-1	schnitzler_anatol_1893-1238-1	Abend
campe_robinson02_1780-1819-13	retif_mensch_1785-1800-23	Abend
alexis_ruhe04_1852-2389-10	semper_philippinen_1869-95-10	Abend
andreas_fenitschka_1898-1404-5	thunberg_reisen01_1792-144-22	Abend
bauer_buehnenleben_1871-4741-6	spielhagen_problematische04_1861-231-3	Abend
bechstein_dunkelgraf_1854-1734-9	lewald_adele_1864-1380-5	Abend
sander_beschreibung01_1783-6801-2	storm_schimmelreiter_1888-1111-9	Abend
gutzkow_serapionsbrueder01_1877-411-5	musaeus_grandison02_1761-1746-19	Abend
haller_anfangsgruende08_1776-15186-32	swedenborg_schriften01_1776-1115-26	Abend
hauptmann_biberpelz_1893-1626-5	michelis_reiseschule_1869-2425-3	Abend
forster_reise02_1780-6343-18	goethe_lehrjahre03_1795-658-35	Abend
forster_reise02_1780-5809-1	schwappach_forstpolitik_1894-4898-32	Abend
fontane_reise_1894-1918-5	scheffel_ekkehard_1855-4093-5	Abend
fontane_briest_1896-2883-1	spielhagen_problematische04_1861-901-3	Abend
bruce_reisen_1784-2904-24	moritz_erfahrungsseelenkunde0401_1786-858-55	Abend
brehm_thierleben06_1869-8761-53	scheffel_ekkehard_1855-1046-1	Abend
brehm_thierleben06_1869-1647-3	spielhagen_problematische02_1861-920-7	Abend
cancrin_beschreibung_1767-4969-27	laroche_geschichte01_1771-2078-5	Abend
conradi_adam_1889-2885-23	hufeland_leben_1797-3137-30	Abend
brehm_thierleben04_1867-8028-3	musaeus_grandison02_1761-1746-19	Abend
brehm_thierleben04_1867-12920-26	kaempfer_japan02_1779-389-43	Abend
berg_ostasien02_1866-3524-35	moeser_phantasien01_1775-1541-13	Abend
brehm_thierleben03_1866-10770-20	musaeus_grandison02_1761-1746-19	Abend
brehm_thierleben02_1865-11132-26	fontane_stechlin_1899-5451-4	Abend
rosegger_waldschulmeister_1875-2046-18	tieck_lovell01_1795-276-2	Abend
brehm_thierleben01_1864-13588-12	francois_reckenburgerin02_1871-1386-3	Abend
thunberg_reisen01_1792-2491-16	thunberg_reisen02_1794-7602-14	Abend
ebers_koenigstochter01_1864-1789-7	holtei_vagabunden01_1852-284-1	Abend
ebers_koenigstochter02_1864-1188-2	lasswitz_planeten01_1897-3389-4	Abend
fontane_brandenburg03_1873-6377-1	musaeus_grandison02_1761-1746-19	Abend
brehm_thierleben02_1865-17570-22	kurz_sonnenwirth_1855-7996-1	Abend
berg_ostasien03_1873-5496-2	michelis_reiseschule_1869-525-23	Abend
alexis_ruhe02_1852-4133-49	moritz_erfahrungsseelenkunde0201_1784-39-27	Abend
hauptmann_biberpelz_1893-385-4	spiess_biographien02_1796-306-20	Abend
berg_ostasien04_1873-3479-1	musaeus_grandison02_1761-1746-19	Abend
kosegarten_poesieen02_1798-385-3	musaeus_grandison02_1761-1746-19	Abend
laukhard_leben0401_1797-3440-16	wieland_agathon01_1766-2022-22	Abend
leisewitz_julius_1776-25-8	miller_siegwart02_1776-8248-9	Abend
meissner_krimi_1796-1767-12	pfeiffer_frauenfahrt01_1850-104-1	Abend
miller_siegwart02_1776-7430-8	spielhagen_problematische02_1861-1498-1	Abend
milton_paradies01_1760-226-42	pahl_bertha_1794-168-0	Abend
moerike_mozart_1856-286-40	thunberg_reisen01_1792-3557-1	Abend
keller_heinrich04_1855-729-17	schaumann_psyche01_1791-1745-1	Abend
moritz_erfahrungsseelenkunde01003_1793-349-2	richardson_clarissa07_1751-7827-1	Abend
moritz_erfahrungsseelenkunde0501_1787-9-70	musaeus_grandison02_1761-1746-19	Abend
moritz_erfahrungsseelenkunde0802_1791-685-31	spielhagen_problematische02_1861-611-6	Abend
musaeus_grandison02_1761-1746-19	poppe_charakteristik01_1776-1930-18	Abend
musaeus_grandison02_1761-1746-19	siever_briefe_1796-214-37	Abend
musaeus_grandison02_1761-1746-19	spielhagen_problematische04_1861-2647-17	Abend
musaeus_grandison02_1761-1746-19	stifter_nachsommer01_1857-3408-1	Abend
musaeus_grandison02_1761-1746-19	wezel_belphegor02_1776-575-15	Abend
musaeus_grandison02_1761-1746-19	zachariae_schriften05_1764-200-4	Abend
moritz_erfahrungsseelenkunde0501_1787-171-30	musaeus_grandison02_1761-1746-19	Abend
holtei_vagabunden02_1852-396-1	musaeus_grandison02_1761-1746-19	Abend
burckhardt_renaissance_1860-4016-1	keller_heinrich02_1854-888-37	Abend
hoelty_gedichte_1783-539-22	sulzer_reise_1780-1252-3	Abend
berg_ostasienzoologie01_1876-565-1	schauberg_freimaurerei01_1861-1913-13	Abend
hc_1152107_1789-162-1	musaeus_grandison02_1761-1746-19	Abend
hippel_lebenslaeufe01_1778-2332-8	parthey_jugenderinnerungen02_1871-2386-1	Abend
hippel_lebenslaeufe02_1779-3979-1	schoenaich_aesthetik_1754-2137-9	Abend
hirschfeld_gartenkunst2_1780-2602-1	zachariae_schriften03_1764-1283-6	Abend
beyer_poetik01_1882-17319-30	beyer_poetik01_1882-19964-31	Abgesang
beyer_poetik01_1882-17724-28	gottschall_poetik_1858-3887-10	Abgesang
2532889X_1966-11-28_01_141.tcf.xml-12-1	grimm_meistergesang_1811-385-75	Abgesang
beyer_poetik01_1882-17319-30	grimm_meistergesang_1811-1974-30	Abgesang
beyer_poetik01_1882-17723-37	grimm_meistergesang_1811-384-1	Abgesang
beyer_poetik01_1882-17625-13	grimm_meistergesang_1811-433-16	Abgesang
beyer_poetik01_1882-17319-55	grimm_meistergesang_1811-1974-30	Abgesang
2532889X_1966-11-28_01_141.tcf.xml-12-1	2532889X_1989-02-16_01_153.tcf.xml-5-20	Abgesang
beyer_poetik01_1882-17923-12	grimm_meistergesang_1811-487-32	Abgesang
beyer_poetik01_1882-17319-30	grimm_meistergesang_1811-2157-70	Abgesang
beyer_poetik01_1882-17319-30	beyer_poetik01_1882-19724-21	Abgesang
beyer_poetik01_1882-17319-30	grimm_meistergesang_1811-2067-37	Abgesang
beyer_poetik01_1882-17044-11	beyer_poetik01_1882-19556-5	Abgesang
2532889X_1965-11-20_01_009.tcf.xml-8-33	beyer_poetik01_1882-17039-17	Abgesang
beyer_poetik01_1882-17041-6	beyer_poetik01_1882-17710-19	Abgesang
beyer_poetik01_1882-17040-22	wilamowitz_aristoteles02_1893-1605-361	Abgesang
2532889X_1965-02-12_01_185.tcf.xml-14-11	26120215_1967_04_23_01_072.tcf.xml-31-25	Abgesang
beyer_poetik01_1882-17040-22	beyer_poetik01_1882-17319-30	Abgesang
beyer_poetik01_1882-17319-30	vischer_poetik_1857-2423-19	Abgesang
beyer_poetik01_1882-17923-12	grimm_meistergesang_1811-437-33	Abgesang
beyer_poetik01_1882-17319-103	grimm_meistergesang_1811-489-9	Abgesang
beyer_poetik03_1884-4074-23	grimm_meistergesang_1811-475-24	Abgesang
beyer_poetik01_1882-17923-12	grimm_meistergesang_1811-536-11	Abgesang
beyer_poetik01_1882-17923-12	grimm_meistergesang_1811-757-20	Abgesang
beyer_poetik01_1882-17976-10	grimm_meistergesang_1811-2157-70	Abgesang
beyer_poetik01_1882-18180-43	grimm_meistergesang_1811-1525-24	Abgesang
beyer_poetik01_1882-18180-43	grimm_meistergesang_1811-530-5	Abgesang
beyer_poetik01_1882-18180-43	wilamowitz_aristoteles02_1893-1605-362	Abgesang
beyer_poetik01_1882-18180-43	wolff_poetik_1899-3988-17	Abgesang
beyer_poetik01_1882-18181-6	grimm_meistergesang_1811-433-16	Abgesang
beyer_poetik01_1882-18235-27	grimm_meistergesang_1811-433-16	Abgesang
beyer_poetik01_1882-19556-5	grimm_meistergesang_1811-453-64	Abgesang
beyer_poetik01_1882-19724-21	grimm_meistergesang_1811-453-64	Abgesang
beyer_poetik01_1882-17063-16	beyer_poetik01_1882-17617-19	Abgesang
beyer_poetik01_1882-17724-28	grimm_meistergesang_1811-705-105	Abgesang
beyer_poetik01_1882-17299-47	beyer_poetik01_1882-18176-6	Abgesang
beyer_poetik01_1882-17299-47	grimm_meistergesang_1811-384-1	Abgesang
beyer_poetik01_1882-19964-31	grimm_meistergesang_1811-385-75	Abgesang
beyer_poetik01_1882-20170-21	beyer_poetik03_1884-2034-4	Abgesang
beyer_poetik03_1884-2034-4	grimm_meistergesang_1811-2067-37	Abgesang
beyer_poetik03_1884-2034-4	grimm_meistergesang_1811-453-64	Abgesang
beyer_poetik03_1884-2036-5	grimm_meistergesang_1811-437-33	Abgesang
beyer_poetik03_1884-2036-5	vischer_poetik_1857-2436-35	Abgesang
beyer_poetik03_1884-2863-10	grimm_meistergesang_1811-705-60	Abgesang
beyer_poetik03_1884-3642-10	grimm_meistergesang_1811-705-60	Abgesang
beyer_poetik03_1884-4074-23	grimm_meistergesang_1811-702-32	Abgesang
beyer_poetik01_1882-19724-21	grimm_meistergesang_1811-487-32	Abgesang
26120215_1964_08_02_01_129.tcf.xml-29-30	beyer_poetik01_1882-17923-12	Abgesang
2532889X_1964-04-15_01_017.tcf.xml-6-1	gottschall_poetik_1858-3887-10	Abgesang
grimm_meistergesang_1811-2067-37	grimm_meistergesang_1811-555-29	Abgesang
grimm_meistergesang_1811-2067-37	grimm_meistergesang_1811-702-55	Abgesang
grimm_meistergesang_1811-381-26	grimm_meistergesang_1811-705-105	Abgesang
grimm_meistergesang_1811-381-26	grimm_meistergesang_1811-705-35	Abgesang
grimm_meistergesang_1811-384-1	grimm_meistergesang_1811-710-26	Abgesang
grimm_meistergesang_1811-385-48	grimm_meistergesang_1811-555-29	Abgesang
grimm_meistergesang_1811-385-48	wilamowitz_aristoteles02_1893-1605-313	Abgesang
grimm_meistergesang_1811-385-48	wilamowitz_aristoteles02_1893-1615-168	Abgesang
grimm_meistergesang_1811-433-16	grimm_meistergesang_1811-702-55	Abgesang
grimm_meistergesang_1811-453-64	vischer_poetik_1857-2436-35	Abgesang
grimm_meistergesang_1811-702-55	grimm_meistergesang_1811-705-60	Abgesang
grimm_meistergesang_1811-705-105	grimm_meistergesang_1811-705-35	Abgesang
grimm_meistergesang_1811-705-35	wilamowitz_aristoteles02_1893-1605-361	Abgesang
grimm_meistergesang_1811-705-60	wilamowitz_aristoteles02_1893-1614-163	Abgesang
grimm_meistergesang_1811-757-20	wilamowitz_aristoteles02_1893-1605-361	Abgesang
2532889X_1959-05-19_01_064.tcf.xml-7-9	beyer_poetik03_1884-2876-49	Abgesang
2532889X_1959-05-19_01_064.tcf.xml-7-9	beyer_poetik01_1882-17319-30	Abgesang
2532889X_1952-07-03_01_121.tcf.xml-66-12	2532889X_1962-07-19_01_070.tcf.xml-28-23	Abgesang
2532889X_1952-07-03_01_121.tcf.xml-66-12	2532889X_1973-10-26_01_046.tcf.xml-10-22	Abgesang
2532889X_1952-07-03_01_121.tcf.xml-66-12	2532889X_1990-10-01_01_102.tcf.xml-13-1	Abgesang
2532889X_1952-07-03_01_121.tcf.xml-66-12	beyer_poetik03_1884-4074-23	Abgesang
2532889X_1950-06-06_01_033.tcf.xml-51-23	wilamowitz_aristoteles02_1893-1605-94	Abgesang
2532889X_1950-06-06_01_033.tcf.xml-51-23	grimm_meistergesang_1811-702-32	Abgesang
grimm_meistergesang_1811-1993-54	grimm_meistergesang_1811-384-1	Abgesang
2532889X_1950-06-06_01_033.tcf.xml-51-23	grimm_meistergesang_1811-1748-43	Abgesang
2532889X_1950-06-06_01_033.tcf.xml-51-23	beyer_poetik01_1882-17005-6	Abgesang
2532889X_1950-06-06_01_033.tcf.xml-51-23	26120215_1964_02_04_01_177.tcf.xml-12-13	Abgesang
2532889X_1950-06-06_01_033.tcf.xml-51-23	2532889X_1990-10-01_01_102.tcf.xml-13-1	Abgesang
2532889X_1950-06-06_01_033.tcf.xml-51-23	2532889X_1952-07-03_01_121.tcf.xml-66-12	Abgesang
2532889X_1959-05-19_01_064.tcf.xml-7-9	26120215_1957_09_05_01_242.tcf.xml-27-1	Abgesang
2532889X_1959-05-19_01_064.tcf.xml-7-9	26120215_1961_01_05_01_106.tcf.xml-25-20	Abgesang
2532889X_1950-06-06_01_033.tcf.xml-51-23	beyer_poetik01_1882-17923-12	Abgesang
2532889X_1964-04-15_01_017.tcf.xml-6-1	grimm_meistergesang_1811-707-36	Abgesang
grimm_meistergesang_1811-1993-16	grimm_meistergesang_1811-489-9	Abgesang
grimm_meistergesang_1811-1974-30	wilamowitz_aristoteles02_1893-1615-168	Abgesang
2532889X_1964-04-15_01_017.tcf.xml-6-1	26120215_1962_01_17_01_314.tcf.xml-18-19	Abgesang
2532889X_1964-04-15_01_017.tcf.xml-6-1	2532889X_1988-12-23_01_100.tcf.xml-26-6	Abgesang
2532889X_1964-04-15_01_017.tcf.xml-6-1	2532889X_1981-04-01_01_117.tcf.xml-19-25	Abgesang
2532889X_1962-08-04_01_020.tcf.xml-27-2	grimm_meistergesang_1811-757-20	Abgesang
2532889X_1962-08-04_01_020.tcf.xml-27-2	grimm_meistergesang_1811-381-26	Abgesang
2532889X_1962-08-04_01_020.tcf.xml-27-2	beyer_poetik01_1882-17923-12	Abgesang
2532889X_1962-08-04_01_020.tcf.xml-27-2	26120215_1957_05_16_01_256.tcf.xml-27-15	Abgesang
2532889X_1962-07-19_01_070.tcf.xml-28-23	grimm_meistergesang_1811-487-32	Abgesang
2532889X_1962-07-19_01_070.tcf.xml-28-23	grimm_meistergesang_1811-2157-70	Abgesang
2532889X_1962-07-19_01_070.tcf.xml-28-23	beyer_poetik01_1882-17923-12	Abgesang
2532889X_1962-07-19_01_070.tcf.xml-28-23	beyer_poetik01_1882-17319-55	Abgesang
beyer_poetik01_1882-17039-17	grimm_meistergesang_1811-384-1	Abgesang
2532889X_1961-03-30_01_045.tcf.xml-6-9	wilamowitz_aristoteles02_1893-1605-361	Abgesang
2532889X_1961-03-30_01_045.tcf.xml-6-9	grimm_meistergesang_1811-475-24	Abgesang
2532889X_1961-03-30_01_045.tcf.xml-6-9	grimm_meistergesang_1811-2157-70	Abgesang
2532889X_1961-03-30_01_045.tcf.xml-6-9	beyer_poetik01_1882-17923-12	Abgesang
2532889X_1961-03-30_01_045.tcf.xml-6-9	beyer_poetik01_1882-17040-22	Abgesang
grimm_meistergesang_1811-1974-30	vischer_poetik_1857-2423-19	Abgesang
grimm_meistergesang_1811-1974-30	grimm_meistergesang_1811-705-60	Abgesang
grimm_meistergesang_1811-1748-43	grimm_meistergesang_1811-702-32	Abgesang
grimm_meistergesang_1811-1530-18	grimm_meistergesang_1811-705-60	Abgesang
grimm_meistergesang_1811-1530-18	grimm_meistergesang_1811-2157-70	Abgesang
grimm_meistergesang_1811-1525-24	grimm_meistergesang_1811-702-32	Abgesang
grimm_meistergesang_1811-1993-16	grimm_meistergesang_1811-433-16	Abgesang
gottschall_poetik_1858-3887-10	wilamowitz_aristoteles02_1893-1605-313	Abgesang
2532889X_1960-11-10_01_118.tcf.xml-12-1	2532889X_1987-12-15_01_094.tcf.xml-36-10	Abgesang
2532889X_1960-11-10_01_118.tcf.xml-12-1	beyer_poetik03_1884-2876-49	Abgesang
2532889X_1961-03-30_01_045.tcf.xml-6-9	2532889X_1962-08-04_01_020.tcf.xml-27-2	Abgesang
2532889X_1961-03-30_01_045.tcf.xml-6-9	2532889X_1973-10-26_01_046.tcf.xml-10-22	Abgesang
2532889X_1961-03-30_01_045.tcf.xml-6-9	2532889X_1981-04-01_01_117.tcf.xml-19-25	Abgesang
2532889X_1961-03-30_01_045.tcf.xml-6-9	26120215_1987_01_17_01_130.tcf.xml-17-20	Abgesang
gottschall_poetik_1858-3887-10	grimm_meistergesang_1811-1748-43	Abgesang
beyer_poetik01_1882-17039-17	grimm_meistergesang_1811-1993-45	Abgesang
beyer_poetik01_1882-17039-17	beyer_poetik01_1882-18176-6	Abgesang
beyer_poetik01_1882-17039-17	beyer_poetik01_1882-17300-7	Abgesang
26120215_1948_08_31_01_041.tcf.xml-2-21	26120215_1957_09_05_01_242.tcf.xml-27-1	Abgesang
