identifier	lemma	context	indices_target_token
1980-88-12	下海	海轮途经新加坡，几个洋人向海里扔下几枚钱币，对中国人说：谁下海捞着，钱就归谁	29:31
1955-22-12	下海	福建省沿海各地民兵积极配合人民解放军加强海防巡逻和解放台湾的斗争，并组织了武装护渔队、巡逻队，保卫渔民下海捕鱼	51:53
1958-21-12	下海	这一下，陈建增完全明白这个人是个企图下海投敌的反革命分子	18:20
1986-60-12	下海	据民主柬埔寨电台今天广播，5月26日，柬埔寨磅逊市胶博村的渔民下海捕鱼时，遭到越军的射击	31:33
1961-34-12	下海	此外，许多渔业重点县还组织了一定的技术力量上渔船修理，或派出“修理船”下海巡逻修理，以节省渔船回厂修理的时间	35:37
1954-48-12	下海	为了保证渔民的安全，在渔船下海以前海员工会和保险公司组织了防灾小组，对渔船、渔具进行了检查	13:15
1958-2-12	下海	同时，渔场上又展开了大规模的总路线宣传活动，出海渔民举行了两百多次讨论总路线的船头会（几只渔船头碰头地集在一起开小组会），以地委代书记王裕民为首的各级干部还在下海时积极推销报纸	79:81
1994-82-12	下海	我们的老二，也就在这时候下定决心申请离职“下海”经商了	21:23
1988-80-12	下海	前后来深圳三次，一次比一次热度高，直到去年涨到99％，我才带着全家来‘下海’了	35:37
1959-13-12	下海	平潭县两天来在一万多渔民日益苦战下，基本完成了推船出沙（因防风用沙袋装在船舱里）等下海准备工作	41:43
1993-92-12	下海	我校乔刚同学在习作中给老师的信委婉地揭示出当前教师“下海”的现实，表达了学生对老师的依恋之情，同时也流露出他们的痛惜和忧虑	26:28
1996-70-12	下海	在政治处等政工科室的带动下，不少人开始行动起来，再也不羞于张口，“生意”做得有模有样，“下海”闯市场的感觉找到了	44:46
1998-79-12	下海	B先生说，在这家商业中心兼职“下海”的大学生共有3个	15:17
1993-77-12	下海	徐氏此番“下海”，据内情人透露，系台湾乙传唱片公司老板蔡顺德先生所为	5:7
1961-42-12	下海	驻守在沿海和海岛上的部队一面严密搜索海上敌情，保卫渔民生产，一面下海撒网捕捞鱼虾或在海边种海带，养海蛏等，获得了好收成	32:34
1958-26-12	下海	”他瞅了瞅他现在穿的新皮大氅，又说：“过去我下海、在家，总是穿一件又腥又破的棉短袄；吃呢，一天挣来的钱连啃窝窝头吃都不够……有一次我们有四个人在葫芦岛下潮（出海），半路遇着大风，一个三丈多高的浪头，打翻了我们的小船，其中一个同伴被打下水以后没有踪影了，剩我们三个人在孤岛上冻饿了好几天，好容易才返回来	22:24
1972-44-12	下海	他刚入伍的时候，看到怒涛滚滚的大海就心跳，别说下海游泳，就是坐船出海还头晕呕吐哩	23:25
1988-89-12	下海	他们，也都有自己的甘苦，自己的收益，就记者接触所及，尽管情况不一，见解各异，但他们有一点感受是共同的，那就是：“下海”，天地广阔，任你纵横驰骋，虽艰辛其犹未悔	56:58
1965-19-12	下海	驻守在南海前线的人民解放军部队，热烈响应毛主席的号召，提前下海游泳，掀起苦练水上硬功的热潮	29:31
1954-36-12	下海	辽西省在春汛下海时即已组成九十个渔业生产合作社，一百四十五个互助组	6:8
1996-84-12	下海	自从改革之风吹遍三秦，开放之潮涌开四关，关中人脾气改了，从那日头坡里起来了，袖子一抹，裤腿一挽，也下海捞起了鱼虾	49:51
1977-29-12	下海	他们说：“只要能治好唐山亲人的伤病，别说上山捉毒蛇，就是下海擒蛟龙，俺们也在所不辞	28:30
1994-53-12	下海	近年来，该报围绕“科技成果的评审和鉴定”、“上山与下海”、“科学研究如何选优和评价”等热点问题开展的讨论，受到有关部门、科学家和广大科技人员的欢迎，取得了良好的社会效果	25:27
1958-41-12	下海	原来这个企图下海投敌的反革命分子名叫罗炳珊，接受海匪指示进行破坏活动，公安机关在他的包袱里还查出一包二两重的砒霜	6:8
1960-47-12	下海	格里高利耶夫在不了解情况下，下海去救人，一旦发现这个坏蛋讲述巴宁隐藏革命者的事，他马上想起巴宁是正义的，就在海里将这个密探处死	14:16
2000-63-12	下海	目前，大部分渔船生产都是合伙和个体经营形式，有些农闲时下海，农忙时上岸，渔政部门对这种松散化经营的管理，难度更大	27:29
