identifier1	identifier2	lemma
mag_1855_556005.txt-194-2	mag_1964_312091.txt-0-4	afternoon_nn
fic_1987_780057.txt-318-5	fic_1992_40272.txt-627-18	afternoon_nn
fic_1987_780057.txt-318-5	news_1968_727538.txt-57-7	afternoon_nn
fic_1987_780057.txt-318-5	nf_1849_762578.txt-1803-0	afternoon_nn
fic_1987_780057.txt-318-5	nf_2008_774723.txt-0-8	afternoon_nn
fic_1987_780058.txt-2587-3	mag_1980_491790.txt-342-2	afternoon_nn
fic_1834_7252.txt-206-4	nf_1849_762578.txt-1803-0	afternoon_nn
fic_1854_5388.txt-1142-35	fic_1988_10770.txt-925-3	afternoon_nn
fic_1854_5388.txt-1142-35	fic_2006_31500.txt-95-14	afternoon_nn
fic_1993_25029.txt-2315-14	mag_1980_491790.txt-342-2	afternoon_nn
fic_1854_5388.txt-1142-35	fic_2007_34112.txt-95-13	afternoon_nn
fic_1834_7252.txt-206-4	mag_1845_587596.txt-153-9	afternoon_nn
fic_1992_40272.txt-627-18	nf_1849_762578.txt-1803-0	afternoon_nn
fic_1962_14199.txt-2624-7	fic_2008_36241.txt-90-1	afternoon_nn
fic_1962_23789.txt-370-2	fic_1997_54614.txt-159-18	afternoon_nn
fic_1988_10770.txt-925-3	mag_1968_490662.txt-89-5	afternoon_nn
fic_1992_40272.txt-627-18	fic_2006_51045.txt-778-3	afternoon_nn
fic_1852_9832.txt-757-5	nf_2006_776561.txt-30-8	afternoon_nn
fic_1988_10770.txt-925-3	mag_1968_490661.txt-153-13	afternoon_nn
fic_1854_5388.txt-1142-35	news_1992_605805.txt-59-34	afternoon_nn
fic_1852_9832.txt-757-5	nf_1857_753133.txt-1759-5	afternoon_nn
mag_1855_556005.txt-194-2	nf_1834_755185.txt-2925-9	afternoon_nn
fic_2007_34112.txt-95-13	nf_1839_747920.txt-1978-13	afternoon_nn
fic_1845_7170.txt-10380-7	fic_1971_14051.txt-667-2	afternoon_nn
fic_1843_7325.txt-1640-7	fic_1997_54614.txt-159-18	afternoon_nn
fic_1960_10402.txt-8830-8	mag_1980_491790.txt-342-2	afternoon_nn
fic_1983_782026.txt-2184-5	fic_1987_780057.txt-318-5	afternoon_nn
fic_1846_7036.txt-2381-16	mag_1855_556005.txt-194-2	afternoon_nn
fic_1846_7036.txt-2381-16	fic_1997_54614.txt-159-18	afternoon_nn
fic_1849_7167.txt-1658-7	fic_1967_10491.txt-4998-1	afternoon_nn
fic_1845_7170.txt-9891-50	nf_1857_753133.txt-1759-5	afternoon_nn
fic_1825_7041.txt-1647-2	fic_1850_2310.txt-1321-9	afternoon_nn
fic_1846_7036.txt-2381-16	fic_1989_782038.txt-2490-5	afternoon_nn
fic_1846_7036.txt-2381-16	fic_1971_782005.txt-463-14	afternoon_nn
fic_1846_7036.txt-2381-16	fic_1855_9098.txt-10134-2	afternoon_nn
fic_1848_7193.txt-3809-25	fic_1852_9832.txt-757-5	afternoon_nn
fic_1849_5295.txt-962-22	fic_1851_3300.txt-1083-18	afternoon_nn
fic_1854_5388.txt-1142-35	fic_1855_2965.txt-1882-18	afternoon_nn
fic_1852_9232.txt-4688-51	fic_1988_10770.txt-925-3	afternoon_nn
fic_1842_7206.txt-3926-5	fic_1845_7170.txt-9891-50	afternoon_nn
fic_1839_8698.txt-603-9	fic_1854_5388.txt-1142-35	afternoon_nn
fic_1846_7036.txt-2381-16	fic_1982_16205.txt-2111-8	afternoon_nn
fic_1988_10770.txt-925-3	mag_1855_556005.txt-194-2	afternoon_nn
fic_1852_9832.txt-757-5	mag_1996_424983.txt-549-1	afternoon_nn
fic_1852_9832.txt-757-5	fic_2008_36241.txt-90-1	afternoon_nn
fic_1822_7275.txt-530-41	fic_1971_14051.txt-667-2	afternoon_nn
fic_1833_7321.txt-162-45	nf_2006_776561.txt-30-8	afternoon_nn
fic_1848_7193.txt-9645-37	fic_1852_9832.txt-757-5	afternoon_nn
fic_1997_54614.txt-159-18	nf_2005_775713.txt-23-7	afternoon_nn
fic_1997_54614.txt-159-18	mag_1983_326806.txt-11-8	afternoon_nn
mag_1980_491790.txt-342-2	nf_1857_753133.txt-1759-5	afternoon_nn
fic_1860_616.txt-3119-6	mag_1855_556005.txt-194-2	afternoon_nn
fic_1825_7041.txt-1647-2	mag_1979_431971.txt-179-14	afternoon_nn
fic_1822_7275.txt-216-23	fic_1850_2310.txt-1321-9	afternoon_nn
fic_1825_7041.txt-1647-2	fic_1996_54472.txt-133-9	afternoon_nn
fic_1825_7041.txt-1647-2	fic_1988_10770.txt-925-3	afternoon_nn
fic_1825_7041.txt-1647-2	fic_1977_780095.txt-3981-5	afternoon_nn
fic_1997_54614.txt-159-18	fic_1999_44564.txt-215-2	afternoon_nn
fic_1997_54614.txt-159-18	fic_2000_28733.txt-1-8	afternoon_nn
