identifier1	identifier2	lemma
bechstein_dunkelgraf_1854-1734-9	lewald_adele_1864-1380-5	Abend
laukhard_leben0401_1797-3440-16	wieland_agathon01_1766-2022-22	Abend
pestalozzi_lienhard03_1785-3496-8	raabe_sperlingsgasse_1857-160-63	Abend
leisewitz_julius_1776-25-8	miller_siegwart02_1776-8248-9	Abend
lessing_dramaturgie01_1767-938-2	musaeus_grandison02_1761-1746-19	Abend
polenz_buettnerbauer_1895-700-11	treitschke_geschichte03_1885-7793-26	Abend
poppe_charakteristik01_1776-2657-1	schnitzler_anatol_1893-1238-1	Abend
hoelty_gedichte_1783-539-22	sulzer_reise_1780-1252-3	Abend
gutzkow_serapionsbrueder01_1877-411-5	musaeus_grandison02_1761-1746-19	Abend
fontane_brandenburg03_1873-6377-1	musaeus_grandison02_1761-1746-19	Abend
fontane_briest_1896-2883-1	spielhagen_problematische04_1861-901-3	Abend
fontane_briest_1896-3928-9	pocci_komoedienbuechlein06_1877-4689-47	Abend
fontane_reise_1894-1918-5	scheffel_ekkehard_1855-4093-5	Abend
raabe_akten_1896-391-36	schauberg_freimaurerei01_1861-5823-31	Abend
musaeus_grandison02_1761-1746-19	zachariae_schriften05_1764-200-4	Abend
musaeus_grandison02_1761-1746-19	wezel_belphegor02_1776-575-15	Abend
musaeus_grandison02_1761-1746-19	stifter_nachsommer01_1857-3408-1	Abend
musaeus_grandison02_1761-1746-19	spielhagen_problematische04_1861-2647-17	Abend
musaeus_grandison02_1761-1746-19	siever_briefe_1796-214-37	Abend
musaeus_grandison02_1761-1746-19	poppe_charakteristik01_1776-1930-18	Abend
forster_reise02_1780-3721-3	hirschfeld_gartenkunst3_1780-1141-2	Abend
forster_reise02_1780-5809-1	schwappach_forstpolitik_1894-4898-32	Abend
laukhard_leben03_1796-1511-34	lessing_dramaturgie01_1767-389-17	Abend
thunberg_reisen01_1792-2491-16	thunberg_reisen02_1794-7602-14	Abend
haller_anfangsgruende08_1776-15186-32	swedenborg_schriften01_1776-1115-26	Abend
berg_ostasienzoologie01_1876-565-1	schauberg_freimaurerei01_1861-1913-13	Abend
hirschfeld_gartenkunst4_1782-3325-24	moritz_reiser03_1786-958-22	Abend
hirschfeld_gartenkunst2_1780-2602-1	zachariae_schriften03_1764-1283-6	Abend
hippel_lebenslaeufe02_1779-3979-1	schoenaich_aesthetik_1754-2137-9	Abend
ebers_koenigstochter01_1864-1789-7	holtei_vagabunden01_1852-284-1	Abend
ebers_koenigstochter02_1864-1188-2	lasswitz_planeten01_1897-3389-4	Abend
hippel_lebenslaeufe01_1778-2332-8	parthey_jugenderinnerungen02_1871-2386-1	Abend
humboldt_aequinoktial03_1859-1368-1	zachariae_schriften04_1764-585-12	Abend
bauer_buehnenleben_1871-4741-6	spielhagen_problematische04_1861-231-3	Abend
andreas_fenitschka_1898-1404-5	thunberg_reisen01_1792-144-22	Abend
hc_1152107_1789-162-1	musaeus_grandison02_1761-1746-19	Abend
forster_reise02_1780-6343-18	goethe_lehrjahre03_1795-658-35	Abend
alexis_ruhe04_1852-2389-10	semper_philippinen_1869-95-10	Abend
hauptmann_biberpelz_1893-1626-5	michelis_reiseschule_1869-2425-3	Abend
alexis_ruhe02_1852-4133-49	moritz_erfahrungsseelenkunde0201_1784-39-27	Abend
alexis_ruhe02_1852-3263-2	musaeus_grandison02_1761-1746-19	Abend
keller_heinrich04_1855-729-17	schaumann_psyche01_1791-1745-1	Abend
berg_ostasien01_1864-3526-1	swedenborg_schriften01_1776-1117-55	Abend
berg_ostasien01_1864-3603-12	nietzsche_zarathustra03_1884-276-3	Abend
berg_ostasien02_1866-3524-35	moeser_phantasien01_1775-1541-13	Abend
kosegarten_poesieen02_1798-385-3	musaeus_grandison02_1761-1746-19	Abend
berg_ostasien03_1873-5496-2	michelis_reiseschule_1869-525-23	Abend
berg_ostasien04_1873-3479-1	musaeus_grandison02_1761-1746-19	Abend
hauptmann_biberpelz_1893-385-4	spiess_biographien02_1796-306-20	Abend
conradi_adam_1889-2885-23	hufeland_leben_1797-3137-30	Abend
sander_beschreibung01_1783-6801-2	storm_schimmelreiter_1888-1111-9	Abend
richardson_clarissa05_1750-8230-14	sulzer_theorie02_1774-9043-22	Abend
brehm_thierleben02_1865-11132-26	fontane_stechlin_1899-5451-4	Abend
rosegger_waldschulmeister_1875-2046-18	tieck_lovell01_1795-276-2	Abend
moritz_erfahrungsseelenkunde0802_1791-685-31	spielhagen_problematische02_1861-611-6	Abend
fuechsel_entwurf_1773-1161-29	keller_heinrich04_1855-1677-20	Abend
brehm_thierleben03_1866-10770-20	musaeus_grandison02_1761-1746-19	Abend
ganswindt_faerberei_1889-10264-7	musaeus_grandison02_1761-1746-19	Abend
brehm_thierleben04_1867-12920-26	kaempfer_japan02_1779-389-43	Abend
milton_paradies01_1760-226-42	pahl_bertha_1794-168-0	Abend
moerike_mozart_1856-286-40	thunberg_reisen01_1792-3557-1	Abend
moritz_erfahrungsseelenkunde0501_1787-9-70	musaeus_grandison02_1761-1746-19	Abend
moritz_erfahrungsseelenkunde0501_1787-171-30	musaeus_grandison02_1761-1746-19	Abend
brehm_thierleben04_1867-8028-3	musaeus_grandison02_1761-1746-19	Abend
brehm_thierleben06_1869-1647-3	spielhagen_problematische02_1861-920-7	Abend
bruce_reisen_1784-2904-24	moritz_erfahrungsseelenkunde0401_1786-858-55	Abend
moritz_erfahrungsseelenkunde01003_1793-349-2	richardson_clarissa07_1751-7827-1	Abend
brehm_thierleben06_1869-8761-53	scheffel_ekkehard_1855-1046-1	Abend
goethe_goetz_1773-221-4	pestalozzi_lienhard04_1787-2481-22	Abend
brehm_thierleben01_1864-13588-12	francois_reckenburgerin02_1871-1386-3	Abend
miller_siegwart02_1776-7430-8	spielhagen_problematische02_1861-1498-1	Abend
brehm_thierleben02_1865-17570-22	kurz_sonnenwirth_1855-7996-1	Abend
holtei_vagabunden02_1852-396-1	musaeus_grandison02_1761-1746-19	Abend
blumenbach_menschengeschlecht2_1798-958-61	laukhard_leben01_1792-2675-3	Abend
meissner_krimi_1796-1767-12	pfeiffer_frauenfahrt01_1850-104-1	Abend
burckhardt_renaissance_1860-4016-1	keller_heinrich02_1854-888-37	Abend
richardson_clarissa07_1751-2506-2	swedenborg_schriften03_1776-407-56	Abend
campe_robinson02_1780-1819-13	retif_mensch_1785-1800-23	Abend
cancrin_beschreibung_1767-4969-27	laroche_geschichte01_1771-2078-5	Abend
2532889X_1960-11-10_01_118.tcf.xml-12-1	beyer_poetik01_1882-18180-43	Abgesang
2532889X_1960-11-10_01_118.tcf.xml-12-1	26120215_1979_12_19_01_098.tcf.xml-26-9	Abgesang
2532889X_1950-06-06_01_033.tcf.xml-51-23	wilamowitz_aristoteles02_1893-1605-94	Abgesang
2532889X_1985-04-13_01_060.tcf.xml-46-40	grimm_meistergesang_1811-475-24	Abgesang
2532889X_1950-06-06_01_033.tcf.xml-51-23	grimm_meistergesang_1811-702-32	Abgesang
2532889X_1950-06-06_01_033.tcf.xml-51-23	grimm_meistergesang_1811-1748-43	Abgesang
2532889X_1950-06-06_01_033.tcf.xml-51-23	beyer_poetik01_1882-17923-12	Abgesang
grimm_meistergesang_1811-381-26	grimm_meistergesang_1811-705-105	Abgesang
2532889X_1950-06-06_01_033.tcf.xml-51-23	beyer_poetik01_1882-17005-6	Abgesang
2532889X_1950-06-06_01_033.tcf.xml-51-23	26120215_1989_05_26_01_048.tcf.xml-10-3	Abgesang
2532889X_1950-06-06_01_033.tcf.xml-51-23	26120215_1964_02_04_01_177.tcf.xml-12-13	Abgesang
26120215_1958_03_23_02_304.tcf.xml-30-18	26120215_1985_06_18_01_080.tcf.xml-16-19	Abgesang
2532889X_1960-11-10_01_118.tcf.xml-12-1	beyer_poetik03_1884-2034-4	Abgesang
26120215_1958_03_23_02_304.tcf.xml-30-18	26120215_1962_01_17_01_314.tcf.xml-18-19	Abgesang
grimm_meistergesang_1811-1530-18	grimm_meistergesang_1811-705-60	Abgesang
2532889X_1960-11-10_01_118.tcf.xml-12-1	26120215_1975_06_07_01_379.tcf.xml-1-19	Abgesang
grimm_meistergesang_1811-385-48	wilamowitz_aristoteles02_1893-1605-313	Abgesang
grimm_meistergesang_1811-1748-43	grimm_meistergesang_1811-702-32	Abgesang
grimm_meistergesang_1811-385-48	wilamowitz_aristoteles02_1893-1615-168	Abgesang
2532889X_1950-06-06_01_033.tcf.xml-51-23	26120215_1957_05_16_01_256.tcf.xml-27-15	Abgesang
2532889X_1960-11-10_01_118.tcf.xml-12-1	beyer_poetik03_1884-2876-49	Abgesang
2532889X_1950-06-06_01_033.tcf.xml-51-23	26120215_1952_03_16_01_388.tcf.xml-7-16	Abgesang
2532889X_1950-06-06_01_033.tcf.xml-51-23	2532889X_1990-10-01_01_102.tcf.xml-13-1	Abgesang
2532889X_1950-06-06_01_033.tcf.xml-51-23	2532889X_1961-03-30_01_045.tcf.xml-6-9	Abgesang
