identifier1	identifier2	lemma	mean_disagreement_cleaned	judgments
bechstein_dunkelgraf_1854-1734-9	lewald_adele_1864-1380-5	Abend	0.4	[3, 4, 4, 4, 4]
laukhard_leben0401_1797-3440-16	wieland_agathon01_1766-2022-22	Abend	0.0	[4, 4, 4, 4, 4]
pestalozzi_lienhard03_1785-3496-8	raabe_sperlingsgasse_1857-160-63	Abend	0.8	[4, 2, 4, 4, 4]
leisewitz_julius_1776-25-8	miller_siegwart02_1776-8248-9	Abend	0.0	[4, 4, 4, 4, 4]
lessing_dramaturgie01_1767-938-2	musaeus_grandison02_1761-1746-19	Abend	0.8	[4, 3, 2, 3, 3]
polenz_buettnerbauer_1895-700-11	treitschke_geschichte03_1885-7793-26	Abend	1.0	[2, 2, 4, 2, 3]
poppe_charakteristik01_1776-2657-1	schnitzler_anatol_1893-1238-1	Abend	0.4	[4, 3, 4, 4, 4]
hoelty_gedichte_1783-539-22	sulzer_reise_1780-1252-3	Abend	0.4	[3, 3, 3, 3, 2]
gutzkow_serapionsbrueder01_1877-411-5	musaeus_grandison02_1761-1746-19	Abend	0.0	[4, 4, 4, 4, 4]
fontane_brandenburg03_1873-6377-1	musaeus_grandison02_1761-1746-19	Abend	0.4	[4, 4, 4, 3, 4]
fontane_briest_1896-2883-1	spielhagen_problematische04_1861-901-3	Abend	0.6	[4, 3, 3, 3, 4]
fontane_briest_1896-3928-9	pocci_komoedienbuechlein06_1877-4689-47	Abend	0.6	[4, 3, 3, 3, 4]
fontane_reise_1894-1918-5	scheffel_ekkehard_1855-4093-5	Abend	0.0	[4, 4, 4, 4, 4]
raabe_akten_1896-391-36	schauberg_freimaurerei01_1861-5823-31	Abend	0.6	[3, 3, 4, 3, 4]
musaeus_grandison02_1761-1746-19	zachariae_schriften05_1764-200-4	Abend	0.0	[2, 2, 2, 2, 2]
musaeus_grandison02_1761-1746-19	wezel_belphegor02_1776-575-15	Abend	0.6	[4, 4, 3, 3, 3]
musaeus_grandison02_1761-1746-19	stifter_nachsommer01_1857-3408-1	Abend	0.0	[4, 4, 4, 4, 4]
musaeus_grandison02_1761-1746-19	spielhagen_problematische04_1861-2647-17	Abend	0.4	[4, 3, 3, 3, 3]
musaeus_grandison02_1761-1746-19	siever_briefe_1796-214-37	Abend	0.6	[4, 4, 3, 4, 3]
musaeus_grandison02_1761-1746-19	poppe_charakteristik01_1776-1930-18	Abend	0.0	[4, 4, 4, 4, 4]
forster_reise02_1780-3721-3	hirschfeld_gartenkunst3_1780-1141-2	Abend	1.2	[4, 2, 4, 2, 2]
forster_reise02_1780-5809-1	schwappach_forstpolitik_1894-4898-32	Abend	0.0	[4, 4, 4, 4, 4]
laukhard_leben03_1796-1511-34	lessing_dramaturgie01_1767-389-17	Abend	1.0	[4, 2, 4, 3, 4]
thunberg_reisen01_1792-2491-16	thunberg_reisen02_1794-7602-14	Abend	0.6	[4, 3, 3, 3, 4]
