identifier	lemma	context	indices_target_token
musaeus_grandison02_1761-1746-19	Abend	Wenn Niemand ihr zu Gefallen lachte, so sahe sie nur ihren Herrn an, welcher aus einer schmeichelhaften Gefälligkeit sogleich bereit war, durch sein überlautes Gelächter ihren Scherz bei Ehren zu erhalten. Nach gethaner Arbeit, sagte der Baronet, ist gut feiern, wir begaben uns gegen sieben Uhr des Abends wieder in den Speisesaal und hernach wurde bis gegen Mitternacht getanzet. Der Doctor eröffnete den Ball mit Sir Beauchamps Gemahlin, er würde auch ohne Zweifel bis auf den letzten Mann ausgehalten haben, wenn ihn nicht ein kleiner Zufall davon abgehalten hätte.	300:306
schauberg_freimaurerei01_1861-1913-13	Abend	Das Verbot für sich zu beten, weil man sein eigenes Beste nicht wissen könne und daher Gott zu überlassen habe. Das Gebot des Morgens beim Aufstehen die Pflichten des Tages zu überdenken und Abends vor dem Schlafengehen sich Rechenschaft zu geben, wie sie erfüllt worden seien, was habe ich gefehlt, was recht gethan, was pflichtwidrig verfehlt? Die Parsen sollen gleichfalls, wie der Sad-der Bundehesh vorschreibt, am Abende, ehe sie einschlafen, nochmals sämmtliche Thaten, die sie den ganzen Tag über vollbracht haben, durchdenken und prüfen, ob sie gesündigt haben oder nicht.	191:197
goethe_lehrjahre03_1795-658-35	Abend	Unter lebhaften Liebkosungen war unser Freund an der Seite dieses seltsamen, stummen Besuches eingeschlafen und nun war weiter keine Spur mehr davon zu entdecken. Er sprang auf, und indem er sich anzog fand er seine Thüre, die er sonst zu verriegeln pflegte, nur angelehnt, und wußte sich nicht zu erinnern, ob er sie gestern Abend zugeschlossen hatte. Am wunderbarsten aber erschien ihm der Schleyer des Geistes, den er auf seinem Bette fand.	326:331
milton_paradies01_1760-226-42	Abend	Seine Rede war kaum geendiget, als schon der Erzfeind Nach dem Gestade hinzugieng. Sein Schild von entsetzlicher Größe, Breit, und rund, und massiv, und von ätherischer Stählung, Hatt’ er auf seinen Rücken geworfen; sein breiter Umkreis Hieng da von seinen Schultern, dem Mond gleich, wenn ihn am Abend Durch ein optisches Glas der weise toskanische Künstler, Zu Valdarno, oder vom Gipfel des Fesole anschaut, Neue Länder, und Berg’, und Flüß’, auf der fleckigten Kugel Zu entdecken. Gegen sein Speer war die längste der Tannen, Auf den Norwegischen Bergen gehauen, um etwan ein Mastbaum Eines Admiralschiffs zu werden, ein Stab nur.	297:302
kaempfer_japan02_1779-389-43	Abend	Nach Belieben wird diese Wache auch wohl, um ihr noch mehr Ansehen zu geben, durch müssige Karoo, Sosjo und Tsugosjo vermehrt, welche beide leztern dan ihren Plaz unter den Joriki nehmen müssen. Einer von dieser Genquaban hält nach der Gewonheit aller Großen des Landes, ein Gengua Tsjo d. i. Wachtjournal, in welchem er anzeiget, wer zu jeder Stunde des Tages ein-und ausgegangen sei, welches Journal dan der Herr zuweilen des Abends durchzusehn pflegt. Zur Seite der Genquaban findet man eine Nengjosi Feja, d. i. eine Kammer für die Stadt-Raporteurs, welche im Namen der Burgermeister von Nangasacki beständig am Hofe des Gouverneurs aufwarten müssen, um seine Befehle wegen der Stadt-und Bürgerschaft zu vernehmen.	428:434
burckhardt_renaissance_1860-4016-1	Abend	Dabei geschah es wohl, daß die Hunde einen gewaltigen Hirsch aus seinem nahen Lager aufjagten, den man mit Klauen und Geweih sich vertheidigen und bergaufwärts fliehen sah. Des Abends pflegte der Papst vor dem Kloster zu sitzen an der Stelle, von wo man in das Thal der Paglia niederschaut, und mit den Cardinälen heitere Gespräche zu führen. Curialen, die sich auf der Jagd abwärts wagten, fanden unten die Hitze unleidlich und alles verbrannt, eine wahre Hölle, während das Kloster in seiner grünen, kühlen Umgebung eine Wohnung der Seligen schien.	177:183
treitschke_geschichte03_1885-7793-26	Abend	Die Unterthanen und die Diener des Kurfürsten, so schrieb er, wären sehr glücklich zu preisen, wenn sie dasselbe von sich sagen könnten, „wenn sie mit Frau und Kindern in einen siebenjährigen Schlaf verfallen und auf diese Weise nur zu neuen Dienstleistungen für Ew. K. Hoheit erstarkt, unter den veränderten Verhältnissen hätten wieder erwachen können.“ Dann fuhr er fort: Ew. K. H. sind reich, Ihre Diener und Unterthanen arm“ und forderte den alten Sünder auf, noch am Abend seines Lebens einen würdigen Gebrauch zu machen von seinen reichen Glücksgütern und die Noth des treuen Hessenvolks zu lindern, bevor er erscheinen müsse „vor dem Herrn über uns Alle, der auch den Mächtigen der Erde den Stuhl bereitet.“ So urtheilte der größte politische Kopf, den Kurhessen zur Zeit besaß, über das Treiben dieses Fürsten.	472:477
hippel_lebenslaeufe02_1779-3979-1	Abend	— Du kennst Minen, wie Judas seinen Meister. Der Abend, da du mir die Geschichte vom Judenknaben und von den Hünereyern erzähltest, wird wider dich zeugen, Frevler! Kuppler!	49:54
sander_beschreibung01_1783-6801-2	Abend	Ich nahm meine Wohnung im goldnen Einhorn, — wo freilich kein Naturkundiger einkehren solte, — aber diese Auberge liegt grade der Abfahrt nach Holland gegenüber. Noch diesen Abend suchte ich Hrn. Bataille auf. Man wies mich erst zu einem andern Optikus, der es wuste, wo jener wohnte, und bei meinem Wegweiser, der nichts als flämisch sprach, den Dolmetscher machte.	174:179
keller_heinrich02_1854-888-37	Abend	Das Refectorium erschien mir mit jedem Tage mehr als ein Hinderniß und eine Beengung; ich sehnte mich darnach, in unserem Hause mir eine stille Werkstatt einzurichten und mir selbst zu helfen, so gut es ginge, und eines Morgens verabschiedete ich mich, noch vor Beendigung meiner Lehrzeit, bei Herrn Habersaat und erklärte der Mutter, ich würde nun zu Hause arbeiten, wenn sie verlange, daß ich etwas verdienen solle, so könne ich dies auch ohne ihn thun, zu lernen wüßte ich Nichts mehr bei ihm. Vergnügt und hoffnungsvoll schlug ich meinen Sitz zu oberst im Hause auf, in einer Dachkammer, welche über einen Theil der Stadt weg weit nach Norden hin sah, deren Fenster am frühen Morgen und am Abend den ersten und letzten Sonnenblick auffingen. Es war mir eine ebenso wichtige als angenehme Arbeit, mir hier eine eigene Welt zu schaffen, und ich brachte mehrere Tage mit der Einrichtung der Kammer zu.	694:699
