identifier1	identifier2	lemma	mean_disagreement_cleaned	judgments
1970-2015_anfektelse_15	1970-2015_anfektelse_4	anfektelse	2.0	[3, 1]
1970-2015_anfektelse_15	1970-2015_anfektelse_3	anfektelse	1.0	[4, 3]
1970-2015_anfektelse_15	1970-2015_anfektelse_17	anfektelse	2.0	[3, 0, 1]
1970-2015_anfektelse_15	1970-2015_anfektelse_16	anfektelse	1.3333333333333333	[3, 3, 1]
1970-2015_anfektelse_0	1970-2015_anfektelse_2	anfektelse	0.0	[4, 4, 4]
1970-2015_anfektelse_11	1970-2015_anfektelse_5	anfektelse	0.0	[4, 4, 4]
1970-2015_anfektelse_11	1970-2015_anfektelse_2	anfektelse	2.0	[3, 1]
1970-2015_anfektelse_11	1970-2015_anfektelse_3	anfektelse	2.0	[3, 1]
1970-2015_anfektelse_11	1970-2015_anfektelse_16	anfektelse	1.0	[3, 2]
1970-2015_anfektelse_0	1970-2015_anfektelse_9	anfektelse	0.0	[3, 3]
1970-2015_anfektelse_0	1970-2015_anfektelse_5	anfektelse	1.0	[3, 4, 0]
1970-2015_anfektelse_0	1970-2015_anfektelse_3	anfektelse	1.0	[3, 0, 4]
1970-2015_anfektelse_15	1970-2015_anfektelse_5	anfektelse	0.0	[4, 4, 4]
1970-2015_anfektelse_11	1970-2015_anfektelse_4	anfektelse	1.3333333333333333	[4, 4, 2]
1970-2015_anfektelse_16	1970-2015_anfektelse_17	anfektelse	0.0	[4, 4, 4]
1970-2015_anfektelse_17	1970-2015_anfektelse_9	anfektelse	1.0	[3, 2]
1970-2015_anfektelse_16	1970-2015_anfektelse_4	anfektelse	1.0	[3, 2]
1970-2015_anfektelse_16	1970-2015_anfektelse_6	anfektelse	2.0	[3, 1]
1970-2015_anfektelse_16	1970-2015_anfektelse_9	anfektelse	0.0	[3, 3, 0]
1970-2015_anfektelse_17	1970-2015_anfektelse_2	anfektelse	0.0	[4, 4, 4]
1970-2015_anfektelse_17	1970-2015_anfektelse_3	anfektelse	2.0	[4, 3, 1]
1970-2015_anfektelse_2	1970-2015_anfektelse_5	anfektelse	2.0	[3, 1]
1970-2015_anfektelse_2	1970-2015_anfektelse_9	anfektelse	1.0	[3, 2]
1970-2015_anfektelse_3	1970-2015_anfektelse_5	anfektelse	3.0	[4, 1]
1970-2015_anfektelse_3	1970-2015_anfektelse_6	anfektelse	3.0	[4, 1]
1970-2015_anfektelse_3	1970-2015_anfektelse_9	anfektelse	1.3333333333333333	[3, 4, 2]
1970-2015_anfektelse_4	1970-2015_anfektelse_6	anfektelse	2.0	[3, 1]
1970-2015_anfektelse_4	1970-2015_anfektelse_9	anfektelse	1.0	[3, 4]
1970-2015_anfektelse_5	1970-2015_anfektelse_6	anfektelse	1.0	[4, 3, 0]
1970-2015_anfektelse_0	1970-2015_anfektelse_15	anfektelse	0.0	[3, 3]
1970-2015_anfektelse_16	1970-2015_anfektelse_2	anfektelse	0.0	[4, 4]
1929-1965_anfektelse_10	1929-1965_anfektelse_17	anfektelse	0.0	[4, 4]
1970-2015_anfektelse_0	1970-2015_anfektelse_11	anfektelse	0.0	[3, 3]
1929-1965_anfektelse_33	1929-1965_anfektelse_56	anfektelse	1.0	[3, 4]
1929-1965_anfektelse_32	1970-2015_anfektelse_16	anfektelse	0.0	[4, 4]
1929-1965_anfektelse_32	1970-2015_anfektelse_2	anfektelse	1.0	[3, 4]
1929-1965_anfektelse_32	1970-2015_anfektelse_5	anfektelse	2.0	[3, 4, 1]
1929-1965_anfektelse_32	1970-2015_anfektelse_6	anfektelse	2.0	[3, 1]
1929-1965_anfektelse_33	1929-1965_anfektelse_51	anfektelse	0.0	[4, 4, 0]
1929-1965_anfektelse_33	1970-2015_anfektelse_0	anfektelse	0.0	[4, 4, 4]
1929-1965_anfektelse_33	1970-2015_anfektelse_11	anfektelse	0.6666666666666666	[3, 3, 2]
1929-1965_anfektelse_33	1970-2015_anfektelse_15	anfektelse	0.0	[3, 3, 0]
1929-1965_anfektelse_33	1970-2015_anfektelse_17	anfektelse	1.0	[3, 4]
1929-1965_anfektelse_33	1970-2015_anfektelse_2	anfektelse	0.0	[4, 4]
1929-1965_anfektelse_33	1970-2015_anfektelse_6	anfektelse	2.0	[3, 1]
1929-1965_anfektelse_43	1970-2015_anfektelse_15	anfektelse	1.3333333333333333	[3, 3, 1]
1929-1965_anfektelse_43	1970-2015_anfektelse_16	anfektelse	0.0	[4, 4]
1929-1965_anfektelse_43	1970-2015_anfektelse_2	anfektelse	0.6666666666666666	[4, 3, 4]
1929-1965_anfektelse_43	1970-2015_anfektelse_3	anfektelse	2.0	[3, 1]
1929-1965_anfektelse_43	1970-2015_anfektelse_4	anfektelse	0.0	[3, 3, 0]
1929-1965_anfektelse_43	1970-2015_anfektelse_9	anfektelse	1.0	[2, 3]
1929-1965_anfektelse_48	1970-2015_anfektelse_11	anfektelse	0.0	[3, 3, 0]
1929-1965_anfektelse_48	1970-2015_anfektelse_16	anfektelse	0.0	[3, 3, 0]
1929-1965_anfektelse_48	1970-2015_anfektelse_3	anfektelse	0.0	[3, 3, 0]
1929-1965_anfektelse_51	1970-2015_anfektelse_16	anfektelse	0.0	[3, 3, 0]
1929-1965_anfektelse_56	1970-2015_anfektelse_16	anfektelse	1.0	[3, 4]
1929-1965_anfektelse_56	1970-2015_anfektelse_2	anfektelse	0.0	[3, 3, 0]
1929-1965_anfektelse_56	1970-2015_anfektelse_4	anfektelse	0.6666666666666666	[4, 4, 3]
1929-1965_anfektelse_56	1970-2015_anfektelse_6	anfektelse	3.0	[4, 1]
1929-1965_anfektelse_32	1970-2015_anfektelse_11	anfektelse	2.0	[3, 1]
