identifier	lemma	context	indices_target_token
old_corpus_spanish-307259-590	actitud	Intenso escalofrío le corría por todo el cuerpo, y apenas podía tenerse en pie. Arreglado el mejor lecho que fue posible, en la cuadra donde todos dormían, se acostó el hombre, perseguido por el espectro de Pertusa con escapulario y vela, andando al compás de la procesión con devoto paso y actitud, y echando de soslayo sobre el gentío el rayo de sus sagaces ojuelos. Y si por el órgano de la vista se hallaba el buen caballero bajo la sugestión del Epístola, por el oído se le entraban los campanudos discursos de Videchigorra.	291:298
modern_corpus_spanish-236756-549	actitud	Con esto me refiero a las enmiendas 4 y 7, al apartado 3 de la enmienda n- 10, y a las enmiendas 11 y 20, así como a las enmiendas 28 y 36, que reiteran enmiendas inaceptables por parte de la Comisión. Desearía aún hacer hincapié en la satisfacción de la Comisión por la actitud constructiva que ha mostrado el ponente ante la presente propuesta, y confío en mantener una cooperación eficaz con el Parlamento Europeo a fin de lograr la aplicación del reglamento en un plazo relativamente breve. El debate queda cerrado.	271:278
old_corpus_spanish-469520-221	actitud	— «Pase usted, D. Segismundo» dijo reconociendo al regente de la botica. Y entró el tal con cara risueña y actitud oficiosa, como de persona que cree ser útil. Estaba la joven incorporada en su lecho, con chambra y pañuelo a la cabeza.	107:114
old_corpus_spanish-239319-301	actitud	Usted aguantará, usted dará el dinero, y usted no saldrá de la partida. — Veamos cómo ha de ser eso, no queriendo yo -dijo el Manco, poniéndose en actitud delcarnívoro que espera el ataque de la fiera más poderosa. — ¡Albuín, Albuín!	147:154
old_corpus_spanish-383105-569	actitud	Estas palabras, aunque algo misteriosas, fueron perfectamente entendidas por Susana, que, fijos los ojos en Martín, contestó afirmativamente con la cabeza, mostrando gran convicción. Cansose de la postura que poco antes había tomado, y culebreaba en el sofá buscando nuevas actitudes a aquel cuerpo cansado de su cansancio. Había tomado un abanico y se daba aire lentamente.	274:283
old_corpus_spanish-472691-449	actitud	Miau peleándose con Posturas era espectáculo nuevo, de trágicas y nunca sentidas emociones, algo como ver la liebre revolviéndose contra el hurón, o la perdiz emprendiéndola a picotazos con el perro. Y fue muy hermosa la actitud insolente de Posturitas, al recibir el primer achuchón, espatarrándose para aplomarse mejor, soltando libros y pizarra para tener los brazos libres... Al mismo tiempo rezongaba con orgullo insano: «Verás, verás... re-contro... me caso con la biblia...».	221:228
old_corpus_spanish-238395-699	actitud	En su rostro se pintaba una ira reconcentrada y profunda; apretaba las mandíbulas; fruncía el ceño, haciendo culebrear las cejas negras y espesas como dos bigotes y el resoplido de sualiento no discrepaba en fuerza y calor del de un caballo. He dicho que se había tendido de barriga, con las palmas de las manos en tierra y los codos en alto, en actitud muy parecida a la de los cigarrones cuando se disponen a dar el salto. De súbito mosén Antón saltó todo lo que puede saltar un hombre en tal postura; levantose en pie, extendió los brazos, lanzaron las cavidades de su pecho un graznido de ave de rapiña, brilló el rayo en sus ojos y señalando a la derecha hacia el punto donde desaparecía el valle formando un recodo, exclamó:	346:353
old_corpus_spanish-370834-473	actitud	Dos órdenes de pequeños rizos; guedejas sutiles, retorcidas con negligencia, le adornaban la frente, y de las sienes blancas, cuya piel transparentaba ligeramente la raya azulada de alguna vena, le caían dos airosos mechones. No hay actitud más propia para apreciar debidamente las formas académicas de una mujer, que esa que toma cuando alza las manos y se enrolla una trenza en la cabeza, dejando ver el busto, el talle, el cuello en toda su redondez. Tiéndense los músculos del pecho, se contornea la espalda, y el ángulo del codo y las suaves curvas del hombro describen en su dilatación graciosas líneas que dan armoniosa expresión escultural a toda la figura.	233:240
old_corpus_spanish-121638-213	actitud	—le preguntó Morton besándola con ardor. Gloria palideció más de lo que estaba y cruzó sus manos en la actitud de los muertos. —¿Es cierto?	103:110
old_corpus_spanish-201934-304	actitud	Y, sobre todo, aunque no le vean… Yo no quiero que esté usted más tiempo aquí; no le quiero ver. Clara estaba tan consternada y era tan resuelta su actitud, que Bozmediano empezó a dudar del éxito de su aventura, y estuvo un rato indeciso. —Clara —prosiguió sentándose con familiaridad—, tú no me conoces.	148:155
old_corpus_spanish-213099-525	actitud	Llegué a la mañana siguiente, me acerqué a la casa, entré en el jardín, puse el pie en el primer escalón de la puerta y allí me detuve, porque mis pensamientos absorbían todo mi ser y necesitaba estar inmóvil para meditar mejor. Creo que permanecí en aquella actitud más de media hora. Silencio profundo reinaba en la casa.	259:266
old_corpus_spanish-344792-969	actitud	Tan al pie de la letra cumplió Iberito estos mandatos, que aquella noche misma hubo de tener una seria cuestión con dos albéitares de Calatrava, que se permitieron ametrallar con chicoleos a Teresita, por pasar el rato y tantear el terreno... que si tendría los ojos más bonitos si no llorara tanto... que si se tapaba demasiado la pechera... que ellos le darían conversación para distraerla... Todo esto le pareció a Ibero de una descortesía impertinente, y llegándose a ellos en actitud decidida y calmosa, les dijo: «Caballeros, déjense de ofender a esta señora con flechazos y tonterías, porque aquí estoy yo con órdenes terminantes para no permitirlo... ¿Qué?... ¿Se ríen?... ¿Toman a chacota lo que les digo?... Pues el guasón que no esté conforme, salga al camino con el arma que quiera o a puño limpio, y Dios dirá quién se ríe y quién se pone serio...	481:488
old_corpus_spanish-33462-365	actitud	Estos hectos muestran que la razón dada al Dr. Avellaneda tenía sólo una apariencia de razón, para persistir honorablemente, científicamente, diría, en su poesía de la guerra. La actitud heroica que asumía en el combate acusa la acumulación de la sangre en el cerebro que hace centellear los ojos, mientras el miedo la aleja y produce la palidez del semblante. Los oradores, los poetas, los descubridores, se transfiguran en el apogeo de la exaltación.	179:186
old_corpus_spanish-395151-63	actitud	¿Has variado de fortuna? La actitud de Caifás frente al israelita era algo cohibida. Sus miradas indicaban el mayor respeto y la singular veneración que su favorecedor le inspiraba; pero a tal respeto uníase cierto recelo o más bien repugnancia, torpeza en las palabras, miedo quizás.	28:35
old_corpus_spanish-18093-905	actitud	Entre flameros hay las armas del Cardenal Tabera y debajo las del obrero Ayala, y algunas cabezas de muy buena ejecucion y dibujo. De los tres vanos que dejan las columnas, los dos laterales contienen dos pinturas de claro oscuro de dos caballeros armados de punta en blanco, obra del célebre Comontes, y el del centro tiene la muestra del reloj, encima de la cual y entre muchos adornos se ven dos figuras de guerreros con sus clavas levantadas en actitud de golpear las campanas del reloj que están en medio, como efectivamente antes las herian para dar los cuartos y las horas, mecanismo que por lo vistoso, y porque distraia á los fieles se ha suprimido. Remata esta portada con un gran roseton y ventanas piramidales, iguales á las que vimos en la de los Leones.	449:456
old_corpus_spanish-497345-703	actitud	Participo a usted, después de darle las gracias por haberse prestado ¡todo un señor Marqués! a ser esta noche mi ayuda de cámara, que de hoy en adelante seré la misma sumisión, y la obediencia personificada, y no daré el menor disgusto, ni a usted mi cuñado ilustre, ni a mis buenas hermanas. Dijo esto sonriendo, los brazos rodeando la cabeza, en actitud semejante a la de la maja yacente de Goya. — Me parece bien.	348:355
old_corpus_spanish-256514-375	actitud	Pidamos a Dios con todo fervor y recogimiento... que sea verdad lo que ha dicho este buen hombre; que sea verdad el levantamiento de la Coruña... Monsalud estaba echado boca arriba en actitud de tranquilidad perfecta. Había extendido sus dos brazos formando arco alrededor de la cabeza, y miraba al techo.	184:191
old_corpus_spanish-300330-572	actitud	El sargento que les mandaba y dirigía era por demás insolente y grosero, de estos que se envalentonan con los humildes. Grande era la resignación de Urdaneta, que se había propuesto tomar por modelo al patriarca Job; mas hubo ocasiones en que se vio a dos dedos de perder su pasiva actitud, por la fuerza explosiva de la dignidad aristocrática, que romper quería sus cadenas, atropellando paciencia, humildad y cristianismo. Viendo que aquel bruto abofeteaba inhumanamente a dos infelices que no habían entendido sus órdenes, o que por exceso de fatiga se mostraban perezosos, sintió el prócer vibración en todo su ser, efecto de la honda crisis o lucha de opuestos sentimientos, y se dijo: «Haré un esfuerzo sobrehumano por contenerme si ese gandul pone sus manos en mi cara; pero dudo que pueda conseguirlo, pues antes de que el corazón se humille, el estallido de mi dignidad hará que le parta la cabeza de un hachazo».	282:289
old_corpus_spanish-357435-694	actitud	Al vocerío de Hinojosa y el traqueteo de los palos acudieron de una parte el mozo y conserje, de otra los compinches de mi enemigo. Unos me sujetaban, otros corrían al socorro del tío... Ya he dicho que soy un hombre terrible, y que me crezco al castigo convirtiéndome de chico en grande por la fiereza de mi embestida y la arrogancia de mis actitudes. Con presteza increíble me sacudí de los que intentaban acorralarme, y seguí el vapuleo contra todo el que por delante me caía.	342:351
old_corpus_spanish-76588-305	actitud	—Buenos o malos, —contestó con rudeza el soldado—, hace ratos que acá los tenemos. —El señor militar parece que no me conoce, —agregó ella en tono y actitud suplicatorios. —No tiene nada de extraño, porque el diablo me lleve si he tenido tratos con brujas.	149:156
modern_corpus_spanish-658926-651	actitud	En conjunto, constituyen un verdadero desafío para las personas de fe. Debemos demostrar la naturaleza bondadosa de la fe genuina, de lo contrario, la religión será definida por una batalla en la que los extremistas toman el control de las comunidades religiosas y los secularistas afirman que esas actitudes son intrínsecas a la religión. Eso sería una tragedia.	299:308
modern_corpus_spanish-378422-887	actitud	Al Grupo de Países de Centroamérica le preocupan las manifestaciones de racismo, xenofobia e intolerancia que tienen lugar en el mundo, y especialmente la discriminación que golpea a los trabajadores migrantes. El orador lamenta el recrudecimiento de la violencia racista que se observa desde hace algunos meses, especialmente en los países más desarrollados que, sin embargo, deberían dar ejemplo de tolerancia y solidaridad, y condena la actitud de algunos partidos políticos que incitan al odio racial. El observador de Panamá formula un llamamiento para que en el presupuesto de las Naciones Unidas se incluyan consignaciones suficientes para financiar las conferencias regionales y la Conferencia Mundial e insta a los países ricos a que alimenten de manera generosa el fondo de contribuciones voluntarias previsto para ese fin.	440:447
old_corpus_spanish-513316-301	actitud	D. Pito no se casaba con nadie. El atlético Virones, que era de los más desconcertados, salió a la calle, donde continuaba la ciega, en invariable actitud desde el día antes, las sayas por la cabeza formando capuchón. «Lucía -le dijo-, ya se acabó todo.	147:154
modern_corpus_spanish-56973-657	actitud	Hemos anunciado a bombo y platillo que finalmente aplicaríamos la Convención internacional sobre los derechos de las personas con discapacidad en Europa, y ahora tenemos la obligación de hacerlo. En relación con los dos expedientes me gustaría decir respecto al expediente sobre los pasajeros de autobuses y autocares que la actitud del Consejo me entristece y decepciona mucho. Debemos dejar una cosa clara.	325:332
modern_corpus_spanish-854498-421	actitud	Y luego, como por arte de magia, espontáneamente van a improvisar toda una armonía alrededor de esa melodía porque pueden hacerlo. Para los que vivimos en Occidente, si vale el término, creo que tenemos una actitud o sentido musical mucho más rígidos que se basa en destrezas y sistemas. Por lo tanto es competencia exclusiva de una élite.	207:214
modern_corpus_spanish-581047-325	actitud	De hecho, las presiones no hicieron más que aumentar la popularidad del canal entre los televidentes árabes. En un principio, Estados Unidos parecía tener una actitud favorable hacia Al Jazeera. El estímulo de la reforma democrática y la cobertura de diferentes puntos de vista por parte de la emisora eran compatibles con las proclamas de la política exterior norteamericana.	159:166
modern_corpus_spanish-504951-267	actitud	Pero los funcionarios tienden a pensar solamente en el costo de las acciones correctivas y no ver el costo de la inacción. Es una actitud insostenible: en las décadas venideras, el crecimiento económico y el aumento de la demanda de energía van a producir un incremento sostenido de las emisiones de contaminantes del aire y un veloz aumento de las concentraciones de materia particulada (MP) y ozono. Según un nuevo informe de la OCDE, en 2060 la contaminación aérea externa causará entre seis y nueve millones de muertes prematuras al año, contra tres millones en 2010.	130:137
modern_corpus_spanish-293376-609	actitud	El reciente acto de agresión contra Siria, perpetrado el 6 de septiembre de 2007, es prueba del deseo de Israel de aumentar las tensiones. Reiteramos que el hecho de que la comunidad internacional, incluido el Consejo de Seguridad, no condene ese acto de agresión alentará a Israel a persistir en esa actitud hostil y desembocará en la exacerbación de las tensiones en la región. Algunas fuentes en los Estados Unidos han difundido rumores e inventado noticias para justificar ese acto de agresión.	301:308
modern_corpus_spanish-155141-1071	actitud	Sin duda hay otro aspecto: como he dicho antes, Europa espera que Zimbabue reemprenda una trayectoria de restablecimiento de las condiciones de vida democrática y progreso económico. Obviamente, estamos dispuestos a mostrar algunos caminos, por ejemplo en el marco del décimo programa de prioridad para el Fondo Europeo de Desarrollo, en el que existen posibilidades concretas, pero no podemos renunciar hoy a poner una condición muy clara a Zimbabue: si no emprende en serio el camino de la democracia, no podremos cambiar nuestra actitud de firmeza. Al mismo tiempo, la Comisión mantiene un diálogo muy estrecho con países vecinos a Zimbabue, en especial con los países miembros de la Comunidad para el Desarrollo del África Meridional y con el Gobierno de Sudáfrica.	532:539
modern_corpus_spanish-712918-725	actitud	Los efectos de la violencia focalizada son también claros en esta encuesta: 17% de los kurdos, 41% de los chiítas y 77% de los sunitas sienten que la vida en Iraq es impredecible y peligrosa, una muestra clara de los efectos de la resistencia continua cuyo centro es el triángulo sunita. Esta disparidad en las actitudes hacia el futuro podría determinar lo que a la larga habrá de pasar en Iraq. La violencia política generalizada tanto en Irán como en América Latina en los años sesenta y setenta, demostró que había una relación entre las percepciones de impotencia de la población y el crecimiento de los movimientos guerrilleros.	311:320
modern_corpus_spanish-56183-657	actitud	Sin embargo, el análisis de la información relacionada con este país da la impresión de que hay numerosos centros de poder que son incapaces de actuar juntos y que se contradicen mutuamente. De este modo, mientras el Gobierno de Erdoğan intenta presentarse a sí mismo como moderado, las fuerzas armadas del país muestran una actitud agresiva hacia Grecia, violando el espacio aéreo griego y hostigando a Frontex constantemente. Al mismo tiempo, se observó recientemente que el poder judicial en este país ha mostrado una clara y repetida tendencia a la abolición del gobierno, siguiendo la misma línea que los sucesos ocurridos hace dos o tres años con Erbakan.	325:332
modern_corpus_spanish-185053-298	actitud	Es algo que hemos dejado bien claro y que es digno de gratitud. Nos queda la esperanza de que algún día el Consejo se deje convencer y cambie de actitud. ¡Tal vez acabe comprendiendo que las actividades culturales de la Unión Europea no entrañan ningún peligro, sino que suponen una oportunidad!	145:152
modern_corpus_spanish-532602-469	actitud	En Estados Unidos, las opiniones pesimistas de las principales tendencias económicas pueden estar alimentadas, en parte, por una falta de respuestas políticas adecuadas y redes de seguridad social menos robustas. Las actitudes frente a la globalización y la tecnología digital también tienden a ser más positivas en países en desarrollo de alto crecimiento como India y China, donde el progreso es altamente visible y las tecnologías digitales parecen más motores de crecimiento que amenazas. Si bien no son pocos los desafíos que enfrentan las economías y las sociedades hoy, no debería permitirse que oculten las tendencias positivas de largo plazo.	217:226
modern_corpus_spanish-374189-403	actitud	El Comité recibirá una copia tan pronto se publique. Otras medidas tienen como objetivo ofrecer programas de educación y capacitación, cursos de idiomas y formación profesional, lograr un cambio de actitud en el mercado de trabajo y la realización de estudios estadísticos y cualitativos. La Sra.	198:205
modern_corpus_spanish-334692-449	actitud	Destaca la importancia de elaborar estrategias nacionales para promover actividades empresariales sostenibles y productivas que generen ingresos para las mujeres desfavorecidas y las mujeres que viven en la pobreza; Alienta a los gobiernos, el sector privado, las organizaciones no gubernamentales y otros agentes de la sociedad civil a que promuevan y protejan los derechos de las trabajadoras, adopten medidas para eliminar los obstáculos estructurales y jurídicos, así como las actitudes estereotípicas que impiden lograr la igualdad entre los sexos en el lugar de trabajo, y adopten medidas positivas para promover la igual remuneración por igual trabajo o de igual valor; Insta a todos los Estados Miembros a que adopten todas las medidas apropiadas para eliminar la discriminación de la mujer en lo relativo al acceso a préstamos bancarios, hipotecas y otras formas de crédito financiero, prestando especial atención a las mujeres pobres y sin instrucción, faciliten el acceso de la mujer a la asistencia jurídica y alienten al sector financiero a incorporar una perspectiva de género en sus políticas y programas;	481:490
modern_corpus_spanish-668379-731	actitud	¿Es el escaso desarrollo económico en gran parte de Medio Oriente y Asia Central producto de prácticas religiosas que son hostiles al crecimiento económico? Lo que usualmente se dice es que el mundo islámico no pasó por un proceso como el de la Ilustración europea, cuando se separaron Estado y religión, se adoptaron ideas científicas modernas y cambiaron las actitudes culturales hacia las mujeres. Como resultado, se alega, el mundo islámico no puede responder a las demandas de la modernización, ni en tecnología ni en prácticas culturales, como conceder derechos a las mujeres, lo que es necesario para el éxito económico en el mundo moderno.	361:370
modern_corpus_spanish-109472-549	actitud	Deseo condenar, en particular, la superficialidad de los que actúan de oídas, de los que pasan de un informe a otro sin profundizar en los problemas. Respecto al drama de los toxicómanos y de sus familias, respecto a este drama de la sociedad, no es posible mantener una actitud similar, tan superficial y destructiva. Es necesario que avancemos, y nos lo hemos propuesto, por el camino del diálogo contra todos los extremismos; hemos dicho «no» y lo reiteramos a la liberalización o legalización de cualquier tipo de droga y argumentamos esta posición con el rigor científico de nuestra posiciones, respetando plenamente a los que esgrimían otras diferentes; hemos hablado de daño biológico, pero también de la influencia psicoemotiva de todas las drogas, tanto blandas como duras; hemos descrito la relación sociológica entre las drogas blandas y las drogas duras, pero también hemos dicho «no» por una elección moral, porque estamos en contra de la droga de Estado.	271:278
modern_corpus_spanish-39873-611	actitud	A lo largo de este año, sin embargo, se propuso la apertura simultánea de numerosas actividades de pesca en varias zonas próximas al continente Antártico. Teniendo en cuenta la considerable cantidad de pesca ilegal y su progresivo aumento, algunos miembros de la CCAMLR recomendaron la adopción de una actitud de mayor cautela en el momento de examinar las solicitudes. Durante este año, el Comité científico ha recomendado por lo que respecta a estas nuevas actividades de pesca la autorización de unos TAC significativos, cuyos volúmenes son del orden de las 1.980 o 2.200 toneladas según las zonas.	302:309
modern_corpus_spanish-672315-135	actitud	Pakistán seguirá recibiendo ayuda norteamericana y británica. Pero a Estados Unidos y a Gran Bretaña les cuesta moverse rápidamente, y voces fuertes en sus capitales quieren que se castigue, no que se ayude, a Pakistán por sus actitudes díscolas. Mientras tanto, China espera con los brazos abiertos.	227:236
modern_corpus_spanish-704393-535	actitud	"Aun así, últimamente ha habido más momentos que recuerdan más a la visión del orden político de Huxley que a la de Orwell. Durante mi primer viaje a China posterior a 1989, un dependiente de un bar me dio a conocer una frase que caracteriza perfectamente la nueva actitud oficial: ""Meiyou yundong, shenme dou keyi"" (""Mientras no haya movimientos políticos, todo está permitido""). Al Hermano Mayor de Orwell no le habría hecho gracia ese comentario, pero un miembro de la minoría gobernante de Un mundo mejor se lo habría tomado con calma."	264:271
modern_corpus_spanish-159444-770	adelante	"Queríamos debatir el interesante informe del Gobierno sobre política europea el pasado otoño para reconocer que sí, que los suizos quieren ahora velar por sus propios intereses nacionales al margen de la adhesión, pero también quizás para rectificar algunas nociones equivocadas acerca de lo que tenemos sobre la mesa. En mi opinión, como ha dicho el Comisario, se trata de seguir adelante sobre la base de los acuerdos bilaterales y quizás un acuerdo marco que simplifique la carga administrativa para ambos bandos. No obstante, la oferta no incluye lo que algunos de nosotros llamaríamos ""adhesión light"", y esta es la raíz de donde tal vez se derivan las actuales dificultades con los impuestos cantonales."	381:389
modern_corpus_spanish-893759-234	adelante	y no parecia que tus capitulaciones, cualquiera que hayan sido, fueran muy grandes. Te mantuviste moviendo hacia adelante en una vida en la que dependes de trabajar para alguien. Pero eso es una cosa interesante para una persona creativa.	113:121
old_corpus_spanish-583893-596	adelante	Después había estado en el café con Milans del Bosch, y al poco rato entró Sagasta, el cual le dijo… Pero ¿a qué referirlo? ¡Qué máquina de embustes! Él no se ocupaba más que de sus negocios, y cuando volviera a Sevilla, lo liaría sin que se enterase nadie, porque con sigilo es como se llevan adelante los grandes negocios. Bien querían los progresistas conquistarle; pero él no les hacía caso, porque veía las cosas bajo el prisma de la serena razón, y… a buena parte iban…	294:302
old_corpus_spanish-504033-91	adelante	Adiós; avante toda. Salió por el pasillo adelante, marcando el paso con el pie muerto, del cual tiraba la pierna reumática ayudada por la sana, dejándolo caer como una maza sobre el suelo. Oyose el portazo, cuya violencia acusaba una dignidad profundamente herida.	41:49
old_corpus_spanish-133158-625	adelante	Unos aldeanos dijéronme antes de llegar allí que no había franceses en los alrededores ni en el pueblo, y en este oí decir que por Siete Carreras y Tornadizos se habían visto en la noche anterior muchísimos ingleses. —Cerca están los míos —dije para mí, y tomando algo de lo necesario para sustentarme seguí adelante. Nada me aconteció digno de notarse hasta Tornadizos, donde encontré la vanguardia inglesa y varias partidas de D. Julián Sánchez.	308:316
old_corpus_spanish-588096-339	adelante	Salió como si fuera en persecución de un deudor. Después de mucho andar, parábase en una esquina, miraba con azoramiento a una parte y otra, y vuelta a correr calle adelante, con paso de inglés tras de su víctima. Al compás de la marcha, sonaba en la pierna derecha el retintín de las monedas… Grandes eran su impaciencia y desazón por no encontrar aquella noche lo que otras le salía tan a menudo al paso, molestándole y aburriéndole.	165:173
old_corpus_spanish-487918-215	adelante	Cuando los tiempos están malos, hijas, ¿qué hemos de hacer sino ayudarnos los unos á los otros? Siguió adelante, y en el principal dió con una inquilina muy mal pagadora, pero de muchísimo corazón para afrontar á la fiera, y así que le vió llegar, juzgando por el cáriz que venía más enfurruñado que nunca, salió al encuentro de su aspereza con estas arrogantes expresiones: «Oiga usté, á mi no me venga con apreturas.	103:111
old_corpus_spanish-271840-35	adelante	— Admirable. Adelante. — Después ha fingido hallarse demente para poder insultar a Su Majestad, burlarse de la religión y apostrofar a los defensores del Trono.	13:21
old_corpus_spanish-185426-834	adelante	Imposible apreciar ni sentir cosa alguna fuera del espectáculo terrible que se ofreció a los ojos de entrambos. El pavor mismo encendía la curiosidad del buen Guerrita, que olvidado del mundo entero ante semejante tragedia, miró el espacio aquel rectangular, miró a los sargentos, que eran colocados en fila por los ayudantes, como a un metro de la tapia… Unos de rodillas, otros en pie… El que quería mirar para adelante miraba, y el que tenía miedo volvía la cara hacia la pared… Un cura les dijo algo y se retiró… Inmediatamente, las dos filas de tropa que habían de matar avanzaron… La primera fila se puso de rodillas, la segunda continuaba en pie. No se oía nada… Silencio de agonía.	413:421
old_corpus_spanish-362145-243	adelante	La timidez y la delicadeza, que por algunos segundos paralizaron mi actividad, fueron pronto vencidas por la pasión. «Adelante -clamó esta dentro de mí-, adelante siempre». Ordené a Serafín que entrase antes que yo, como enviado extraordinario para prevenir mi visita, suplicando a la señora que antes de partir me concediese el honor de ofrecerle mis respetos...	118:126
