identifier	lemma	context	indices_target_token
bib11653828_18270228_144028_49_0003_alto.xml-7-28	aktiv	£effi1 stulle de bli alltför kostsamma att underlätta, emedan de till största delen lefwa af dagspenning, och man säledes, i fall man försatte dem i aktiv tjenstgöring, mäste loswa dcm akt draga försorg för deras hustrurs och barns uppehälle.	149:154
bib11653811_18980202_145317_18_0003_alto.xml-27-4	aktiv	Riksdagen regelbundet bland de aktiva statsembetsmännen, får sitta på den ansvarsfulla platsen stundom några månader, stundom längre, oell flyttas derefter af Kongl.	31:37
bib15650814_18950917_146365_217_0001_alto.xml-87-0	aktiv	aktiva medlemmar kallas till allmän årssam mankomst ä Lilla hotellsalongen fredagen den SiO september kl. precis 7 e. m. Obs.J Viktiga frågor angående sällskapets verksamhet under arbetsåret.	0:6
bib15975087_18950916_145596_143_0003_alto.xml-91-44	aktiv	» Le Figaro » tillfogar, att den ryska pressan ju aldrig publicerar någon annan mening än den, sorn är rådande på högsta ort, och afsikten med parisertidningens artikel är då att hänleda uppmärksamheten på, huru redan förmodandet att en mera aktiv engelsk utrikespolitik är förestående sätter Rysslands varma känslor för Frankrike i ytterligare stark spänning.	242:247
bib11653790_19010118_145648_5_0003_alto.xml-38-11	aktiv	Då redan nu ett antal af 32 personer tecknat sig såsom aktiva medlemmar ', beslöts bildandet af en själfständig skytteförening under namn af » Krylbo frivilliga skyttegille », hvilket skulle ansluta sig till Dalarnes skytteförhund.	55:61
bib11653811_18981125_145317_182_0003_alto.xml-114-16	aktiv	från tillförlitligt håll meddelats St.-T., kommer prins Eugen inom kort att uppgifva sin ställning såsom aktiv officer.	105:110
bib11653836_18950524_147011_21_0004_alto.xml-88-33	aktiv	Härens aktiva styrka utgjorde i Maj 1894 100,000 man; denna styrka kan dock enligt Japans härorganisation betydligt ökas, och då en sådan ökning nu utan tvifvel skall företagas, kommer den aktiva styrkan att kunna uppbringas till innemot 300,000 man.	189:195
bib19225758_18950504_144022_103_0006_alto.xml-194-5	aktiv	Sammanträde med medlemmar i den aktiva gruppen hölls i söndags, därvid meddelades styrelsens och revisorernas berättelse samt beviljades ansvarsfrihet för det gångna årets förvaltning.	32:38
bib15873936_18961017_147385_121_0002_alto.xml-133-3	aktiv	blott af de aktiva, gäller endast, så länge soldaten är medlem af orden, och afgifves ej för lifstiden.	12:18
bib19277277_18951105_147683_302_0001_alto.xml-28-22	aktiv	D« personer, tom ön.ka genomgå fullständig aamaritkurs nied 5 lektioner linder loppet uf två och en half vecka oeh derigenom blifva aktiva medlemmar af Svenska Sntnnritföreningen, kunna derom göra anmälan mnntligen ellar holst skriftligen hos Regementsintendenten TOU Heijne, Östermalmsgatan AS 57, eller genom anteckning å för ändamålet framlagd lista 1 Hrr Samson & Wallins Bokhandel, lii 7 Drottninggatan.	132:138
bib19277349_18950919_147403_120_0001_alto.xml-47-4	aktiv	och uppmanas aila Gillets aktiva medlemmar, som ännu ej för året skiutit 60 skott, att gära detta, på det statsunderstöd för dem må erhållas.	26:32
bib15873371_18950318_145112_76_0003_alto.xml-113-42	aktiv	— Den konkurrens, som man fruktar att finna hos en gemensam konsul, när olika intressen göra sig gällande — ett fall Born i verkligheten så ytterst sällan skall inträffa —, den skall ju uppenbarligen bli långt mer påtaglig och aktiv, om man i samma hamn ber både en norsk och en svensk konsul.	227:232
bib11653790_18971203_145648_95_0005_alto.xml-36-19	aktiv	Intet under därför, att Goldmanns borgenä rer blefvo vid dåligt lynne, sedan de efter konkursen undersökt gäldenärens aktiva.	118:124
bib11653811_18970426_145317_63_0004_alto.xml-83-9	aktiv	Från Athén telegraferas: Allmänna meningen kräfver ett mera aktivt ingripande af konung Georg, som anses hålla sig väl mycket tillbaka.	60:66
bib15650837_18951105_146391_258_0002_alto.xml-108-25	aktiv	För att vinna de enropeiska makternas bifall och medverkan dertill lät Carl Joban Sverige förbinda sig till de uppoffringar och den risk, sorn ett aktivt uppträdande i den stora striden mot Frankrikes mäktige kejsare måste medförs; med deras stöd tvång ban Danmark att genom freden i Kiel, mot erhållande af Sveriges sista besittning på andra sidan Östersjön, afträda Norge tili Sverige och nödgade derpå norrmännen att till Norges konung » välja och erkänna » Sveriges mot de vilkor, sorn från svenska sidan medgåfvoe den 4 November 1814.	147:153
bib11653811_19011213_145317_193_0003_alto.xml-23-28	aktiv	Af dessa framgår, att S. Möre består af 16 socknar, och således måste bland dessa finnas 15, som icke kunna räkna hr O. som » aktiv » innevånare och således ej som sin respektive tidningsreferent.	126:131
bib19225758_18950216_144022_40_0007_alto.xml-69-6	aktiv	nya förordning lär komma att från aktivt deltagande i nästa kongress utesluta de förnämsta engelska arbetarledarne, hrr Iveir Hardie, John Burns och Tom Mann, såvida de ej innan dess skaffa sig arbete inom sina yrken eller blifva tjänstemän inom sina fackföreningar.	34:40
bib11653838_19000427_147024_17_0002_alto.xml-20-10	aktiv	ha ett par intresserade perso ner börjat verka för folkskolegossarnes aktiva deltagande i skyttegillets sträfvande.	70:76
bib15873936_18950223_147385_24_0002_alto.xml-88-5	aktiv	Kristliga föreningens af unge män aktiva medlemmar hade årssammanträde å föreningens lokal i onsdags.	34:40
bib11653811_19010720_145317_110_0003_alto.xml-22-15	aktiv	har en man aflidit, som kunde berömma sig af att ha varit den äldste aktive officeren i verlden.	69:75
bib11653790_19030922_12541_74_0004_alto.xml-16-5	aktiv	ning till åhörarne, att aktivt deltaga i kampen mot rusdryckerna; det dugde vid striden mot dem lika litet som vid revolution att vara neutral.	24:30
bib19225758_18950617_144022_138_0003_alto.xml-66-54	aktiv	för Sveriges frivilliga skytteföreningar hade hos k. m:t hemstält, att samtliga frivilliga skytteföreningar i riket, hvilka stålt sig till efterrättelse i k, brefvet den 15 December 1893 för rikets frivilliga skytteväsen utfärdade bestämmelser, mätie erhålla tillstånd att från statens förråd få såsom lån utbekomma ett 1867 års gevär för hvarje aktiv medlem af sådan förening.	346:351
bib15760690_18950620_145050_93_0002_alto.xml-36-1	aktiv	Äswen aktivt deltog han i de offentliga angelägenheterna inom den stad, der han under tidigare som senare mannaålder satts att werka.	6:12
bib19227462_18950506_147640_104_0006_alto.xml-312-16	aktiv	Tyska riksbankens veckorapport den 2 maj, jemförd med nästförutpångna vecka utvisar följande hufvudsakiiga förändringar: Aktiva.	121:127
bib11653811_18991216_145317_194_0006_alto.xml-62-22	aktiv	innehålla ett upprop till mi lisen att ställa sig under fanorna och göra garnisonstjenst, så att hela rikets disponibla trupper i aktiv tjenst kunna af sändas till Sydafrika.	130:135
bib11653811_19000207_145317_20_0002_alto.xml-10-20	aktiv	» Sweden » af Oskarshamn om 168 reg.ton har sålts till rederi i Marstal för 31,000 kr., skonerten » Aktiv » af Brantevik till rederi i Pataholm för 6,000 kr.	100:105
bib11653790_18960131_145648_5_0006_alto.xml-71-2	aktiv	honom till aktiv deltagare strandade lika mycke: mot hans drumliga ben som mot hans ohjälpliga slöhet.	11:16
bib19277277_18291116_147682_266_0001_alto.xml-4-26	aktiv	': Grefwe Toll har blifwil utnämnd list Riddare af S:t GeorgS Ordens andra klaff, till belöning för de förljenster han ädagalagt fäftin chef sbr aktiva Arim-ens General-Stab under sednaste fältläg.	145:151
bib11653828_18280122_144028_18_0002_alto.xml-11-24	aktiv	kommer säledes, säival igenom sin inre organism, som genom sin belägenhet, att utgöra en nöowändig öfwergäng frän Set passiva till det aktiva lifwet, frän det mera jkol-lika Akademista till det fria medborgerliga, dä den nybildade läkaren stall börja att tänka och werka, icke säfom cn maschin, drjfmen af yttre krafter, utan sond en fullbildad man, so n bär kraften inom sig.	135:141
bib13506739_18120829_144030_200_0002_alto.xml-2-3	aktiv	dct Re, Aktive Kueägare i detta afseende täckas-samlas pä Börsen i gula - alen nalia Diaabnp ten 31 Aug.	8:14
bib11653828_18290707_144028_153_0003_alto.xml-23-23	aktiv	härtill är, dels att man vill skona soldaten » helsa, som mycket lider genom den starka hettan, dels att den aktiva armés ej tyckes	109:115
bib19225758_18950820_144022_192_0002_alto.xml-0-10	aktiv	Praktiskt har ju denna skola värkat för en medveten och aktiv ekonomisk och social politik.	56:61
bib11653828_18290428_144028_96_0003_alto.xml-9-19	aktiv	har till deras underhåll anslagit 5o, ooo Francs månadtligen, hvilket är ungefärligen lika mycket, sorn deras aktiva sold skulle hesliga sig till.	110:116
bib11653792_17950502_146919_18_0001_alto.xml-1-2	aktiv	Hon ^yncs aktiv munter, men Prinsen sällan rätt glad.	10:15
bib11653828_18290218_144028_40_0003_alto.xml-1-12	aktiv	"Det förljudes nu, alt styrkan af detta slags trupper vid den aktiva operations-armén skall okas till trellie regementer ("" ungefär 5o, ooo man)."	61:67
bib19223423_18221026_145063_86_0002_alto.xml-3-21	aktiv	°) I Berlin är en Förordning utkommen rörande werkställigheten af Civi! » Dom« stolars U stag emot Militärprrioner HsS aktiva (fbrmodel.	119:125
bib11653828_17920308_144028_57_0002_alto.xml-5-8	aktiv	Skulle man wal gista til at hwartenda kommer aktiv af nägot	45:50
bib19225772_18130202_148004_12_0002_alto.xml-15-11	aktiv	uttagas bland dem, hwilke ännu icke blifwit kallade till den aktiva Armeen, c) 150,000 man af konstriptioncn för är 1814.	61:67
bib11653825_18050204_145134_14_0002_alto.xml-11-23	aktiv	i Frankrike för nasta Sr kommer, likasom i är, att besia af 60,200 man, hwaraf hälften är bestämd för de aktiva Armecrne och hälften för RcserftArmecn.	105:111
bib11653792_18111012_146919_41_0002_alto.xml-12-1	aktiv	som aktiv will bära det kostbara och nya, af stg sjelf komma til det naturliga och enkla; Astwingar Ni henne det sä werkar dock twäng ingen bättring, och med första frihet utbryter Mode-sjukan i löjcliga och kostbara fymptomer.	4:9
bib19225772_18210321_148004_34_0002_alto.xml-6-8	aktiv	redan förklarat sig att antaga befälet öfwer z aktiva Divisioner.	47:53
bib11653792_18070711_146919_28_0002_alto.xml-6-3	aktiv	De fattige fä aktiv mäst för stna penningar när de köpa pä de	14:19
bib11653828_18270426_144028_96_0001_alto.xml-4-30	aktiv	I Bolivia är ben pä lifstld ' utnä, nnde Presidenten denna punkt P8 honom beror hela regelmessigheten i wärk system, utan att han derföre är berättigad till nägon aktiv inblandning.	163:168
bib11653828_17910510_144028_106_0002_alto.xml-5-12	aktiv	H » vilkin stulle icke önska sig denna, ofta nyttiga, aktiv behagliga svaghet,	54:59
